Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus, lastUpdateTime, milestoneTitle
1470227014,NA,15361,1,1,0,5,fioriNTU,NPNNNNNNNNNNNNNPN,1470227036,Next CMSSW_8_1_X
1470227087,NA,15362,1,1,0,5,fioriNTU,NPNNNNNNNNNNNNNPN,1470227113,Next CMSSW_8_0_X
1470230900,NA,15363,1,6,0,6,kpedro88,PNPNNNNNNNNNNNNSN,1470315548,Next CMSSW_8_1_X
1470238140,NA,15364,1,4,0,5,bsunanda,NNNNNNNNNPNNNNNRN,1470244943,Next CMSSW_8_1_X
1470286735,1470286775,15365,1,1,1,5,davidlange6,NNNNNPNNNNNNNNNPN,1470286775,Next CMSSW_8_0_X
