Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1469916000.0 10824.0 95 NA NA NA NA 143 NA NA NA NA 13677 NA NA NA NA 14389 NA NA NA NA
1469916000.0 10825.0 94 NA NA NA NA 142 NA NA NA NA 11397 NA NA NA NA 12143 NA NA NA NA
1469916000.0 1302.0 58 139 166 NA NA 106 200 228 NA NA 7970 739 539 NA NA 8498 1005 1485 NA NA
1469916000.0 1325.0 NA 171 245 0 67 NA 229 316 0 108 NA 1004 1678 1845 162 NA 1093 1807 2780 334
1469916000.0 1337.0 NA 170 242 0 NA NA 229 324 0 NA NA 1174 2235 1436 NA NA 1258 2380 2514 NA
1469916000.0 134.703 NA 35 231 0 NA NA 88 289 0 NA NA 215 7667 631 NA NA 330 8444 1341 NA
1469916000.0 134.705 NA 37 225 0 NA NA 88 287 0 NA NA 207 8017 669 NA NA 277 8568 940 NA
1469916000.0 134.706 NA 37 230 0 NA NA 87 286 0 NA NA 177 6960 686 NA NA 197 7615 746 NA
1469916000.0 134.707 NA 37 215 0 NA NA 87 279 0 NA NA 205 7504 669 NA NA 233 7926 932 NA
1469916000.0 134.708 NA 35 220 0 NA NA 85 279 0 NA NA 212 7083 672 NA NA 309 7621 1161 NA
1469916000.0 134.803 NA 34 218 0 NA NA 88 280 0 NA NA 249 8347 700 NA NA 359 8898 964 NA
1469916000.0 134.804 NA 34 235 0 NA NA 87 291 0 NA NA 215 8331 501 NA NA 267 8976 757 NA
1469916000.0 134.805 NA 36 233 0 NA NA 89 293 0 NA NA 207 8148 523 NA NA 258 8851 565 NA
1469916000.0 134.806 NA 35 233 0 NA NA 86 291 0 NA NA 229 9017 432 NA NA 290 9559 631 NA
1469916000.0 134.807 NA 74 244 0 NA NA 144 299 0 NA NA 716 8072 526 NA NA 821 8463 823 NA
1469916000.0 134.808 NA 85 246 0 NA NA 145 303 0 NA NA 678 8342 459 NA NA 732 8797 505 NA
1469916000.0 134.81 NA 33 224 0 NA NA 86 281 0 NA NA 211 7752 583 NA NA 279 8486 615 NA
1469916000.0 134.811 NA 35 229 0 NA NA 86 287 0 NA NA 208 8162 540 NA NA 281 8830 587 NA
1469916000.0 134.908 NA 83 233 0 NA NA 146 295 0 NA NA 501 5582 618 NA NA 693 11050 668 NA
1469916000.0 134.911 NA 35 220 0 NA NA 87 279 0 NA NA 226 6777 662 NA NA 256 7441 1028 NA
1469916000.0 134.99603 NA 35 224 0 NA NA 87 280 0 NA NA 211 7362 553 NA NA 280 7885 575 NA
1469916000.0 134.99901 NA 35 216 0 NA NA 87 279 0 NA NA 218 6566 630 NA NA 314 7405 893 NA
1469916000.0 135.11 242 0 102 NA NA 315 0 160 NA NA 1606 367 335 NA NA 1743 408 422 NA NA
1469916000.0 135.2 209 0 95 NA NA 282 0 159 NA NA 807 295 237 NA NA 2999 303 304 NA NA
1469916000.0 135.5 221 0 97 NA NA 299 0 160 NA NA 1028 320 232 NA NA 3065 327 302 NA NA
1469916000.0 135.6 224 0 98 NA NA 302 0 159 NA NA 1216 329 261 NA NA 3339 336 328 NA NA
1469916000.0 135.9 222 0 97 NA NA 300 0 159 NA NA 873 289 237 NA NA 3117 298 305 NA NA
1469916000.0 136.722 NA 167 247 0 NA NA 229 321 0 NA NA 2813 6042 714 NA NA 3841 10727 1451 NA
1469916000.0 136.725 NA 166 236 0 NA NA 223 300 0 NA NA 2652 5916 698 NA NA 3735 11153 1258 NA
1469916000.0 136.726 NA 167 240 0 NA NA 224 303 0 NA NA 3890 7899 833 NA NA 4329 8674 849 NA
1469916000.0 136.727 NA 192 244 0 NA NA 276 312 0 NA NA 2856 5779 695 NA NA 3954 12207 722 NA
1469916000.0 136.729 NA 164 236 0 NA NA 221 299 0 NA NA 2554 5978 668 NA NA 3582 11151 736 NA
1469916000.0 136.731 NA 170 235 0 NA NA 223 302 0 NA NA 2826 6103 678 NA NA 3923 10688 830 NA
1469916000.0 1361.0 58 152 235 0 NA 155 212 315 0 NA 3459 460 741 971 NA 7127 734 2103 1423 NA
1469916000.0 140.51 NA 30 178 0 NA NA 71 232 0 NA NA 498 1388 266 NA NA 618 1805 290 NA
1469916000.0 204.0 48 82 202 0 NA 96 150 271 0 NA 7451 688 1024 507 NA 7719 992 1319 573 NA
1469916000.0 250400.0 236 0 100 NA NA 321 0 161 NA NA 1596 313 401 NA NA 3660 322 473 NA NA
1469916000.0 250405.0 238 0 102 NA NA 316 0 160 NA NA 1391 333 306 NA NA 1568 406 375 NA NA
1469916000.0 250406.0 231 0 99 NA NA 315 0 160 NA NA 1115 302 288 NA NA 3195 310 355 NA NA
1469916000.0 25209.0 NA 215 317 0 NA NA 274 414 0 NA NA 2610 3181 1017 NA NA 6318 12458 1080 NA
1469916000.0 25210.0 69 198 312 0 NA 155 266 390 0 NA 1604 871 1196 1000 NA 4455 2369 8536 1464 NA
1469916000.0 25403.0 266 0 100 NA NA 370 0 160 NA NA 3850 331 305 NA NA 5882 372 363 NA NA
1469916000.0 34.0 48 75 188 0 NA 97 142 254 0 NA 7441 454 588 546 NA 7707 510 671 579 NA
1469916000.0 36.0 NA 80 200 0 NA NA 152 262 0 NA NA 2474 11614 580 NA NA 2551 12081 925 NA
