Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470085200.0 124.1 171 NA NA NA NA NA NA 238 NA NA NA NA NA NA 369 NA NA NA NA NA NA 412 NA NA NA NA NA NA
1470085200.0 124.2 175 NA NA NA NA NA NA 243 NA NA NA NA NA NA 626 NA NA NA NA NA NA 699 NA NA NA NA NA NA
1470085200.0 124.4 171 NA NA NA NA NA NA 238 NA NA NA NA NA NA 381 NA NA NA NA NA NA 457 NA NA NA NA NA NA
1470085200.0 124.5 172 NA NA NA NA NA NA 238 NA NA NA NA NA NA 385 NA NA NA NA NA NA 443 NA NA NA NA NA NA
1470085200.0 124.6 163 NA NA NA NA NA NA 228 NA NA NA NA NA NA 388 NA NA NA NA NA NA 460 NA NA NA NA NA NA
1470085200.0 126.0 41 68 187 NA NA NA NA 87 142 254 NA NA NA NA 1329 361 271 NA NA NA NA 1396 426 305 NA NA NA NA
1470085200.0 127.0 40 67 186 NA NA NA NA 86 142 254 NA NA NA NA 1253 351 260 NA NA NA NA 1312 393 293 NA NA NA NA
1470085200.0 128.0 39 68 185 NA NA NA NA 80 142 254 NA NA NA NA 412 336 326 NA NA NA NA 433 361 355 NA NA NA NA
1470085200.0 129.0 40 67 186 NA NA NA NA 81 142 254 NA NA NA NA 468 353 324 NA NA NA NA 506 388 379 NA NA NA NA
1470085200.0 13.0 NA 74 189 0 NA NA NA NA 152 254 0 NA NA NA NA 302 794 485 NA NA NA NA 366 918 518 NA NA NA
1470085200.0 130.0 41 67 187 NA NA NA NA 86 142 254 NA NA NA NA 579 345 315 NA NA NA NA 668 377 355 NA NA NA NA
1470085200.0 1302.0 58 142 167 NA NA NA NA 105 201 228 NA NA NA NA 6370 576 495 NA NA NA NA 6979 1009 558 NA NA NA NA
1470085200.0 1303.0 58 139 155 NA NA NA NA 105 200 229 NA NA NA NA 10333 602 970 NA NA NA NA 11002 708 1048 NA NA NA NA
1470085200.0 1307.0 NA 136 130 48 0 NA NA NA 208 202 80 0 NA NA NA 547 577 49 695 NA NA NA 841 700 84 717 NA NA
1470085200.0 1308.0 NA 133 127 46 0 NA NA NA 208 202 81 0 NA NA NA 526 636 56 695 NA NA NA 589 939 82 718 NA NA
1470085200.0 131.0 42 75 184 NA NA NA NA 88 142 254 NA NA NA NA 1294 367 380 NA NA NA NA 1400 400 657 NA NA NA NA
1470085200.0 1310.0 NA 163 238 0 NA NA NA NA 224 316 0 NA NA NA NA 936 1540 2293 NA NA NA NA 1028 1677 2345 NA NA NA
1470085200.0 1313.0 NA 165 241 0 NA NA NA NA 235 316 0 NA NA NA NA 842 2565 2180 NA NA NA NA 915 2764 2230 NA NA NA
1470085200.0 1316.0 NA 154 229 0 NA NA NA NA 219 316 0 NA NA NA NA 838 1337 1960 NA NA NA NA 918 1452 2001 NA NA NA
1470085200.0 1325.0 NA 172 246 0 67 NA NA NA 230 316 0 108 NA NA NA 1046 1731 1867 187 NA NA NA 1148 1823 2982 372 NA NA
1470085200.0 1325.1 NA 163 133 0 NA NA NA NA 230 183 0 NA NA NA NA 752 409 275 NA NA NA NA 953 537 294 NA NA NA
1470085200.0 1325.3 NA 163 130 0 NA NA NA NA 230 179 0 NA NA NA NA 747 385 287 NA NA NA NA 826 885 319 NA NA NA
1470085200.0 1327.0 NA 161 236 0 NA NA NA NA 221 316 0 NA NA NA NA 809 1374 2031 NA NA NA NA 891 1503 2066 NA NA NA
1470085200.0 1329.0 NA 160 232 0 NA NA NA NA 225 316 0 NA NA NA NA 907 1360 2071 NA NA NA NA 999 1465 2153 NA NA NA
1470085200.0 133.0 50 74 192 NA NA NA NA 98 143 254 NA NA NA NA 11750 722 1094 NA NA NA NA 12151 778 1134 NA NA NA NA
1470085200.0 1330.0 NA 151 230 0 NA NA NA NA 221 316 0 NA NA NA NA 943 1494 2133 NA NA NA NA 1062 1612 2177 NA NA NA
1470085200.0 1336.0 NA 161 239 0 NA NA NA NA 227 316 0 NA NA NA NA 1127 2863 2128 NA NA NA NA 1252 3718 2163 NA NA NA
1470085200.0 1337.0 NA 170 248 0 NA NA NA NA 230 324 0 NA NA NA NA 1205 2304 1476 NA NA NA NA 1308 2391 3052 NA NA NA
1470085200.0 134.0 NA 208 35 0 NA NA NA NA 278 70 0 NA NA NA NA 2684 7 8 NA NA NA NA 2845 15 15 NA NA NA
1470085200.0 134.701 NA 35 229 0 NA NA NA NA 86 284 0 NA NA NA NA 198 5936 754 NA NA NA NA 286 6247 784 NA NA NA
1470085200.0 134.703 NA 36 228 0 NA NA NA NA 88 289 0 NA NA NA NA 189 7561 712 NA NA NA NA 297 8892 741 NA NA NA
1470085200.0 134.705 NA 37 228 0 NA NA NA NA 88 287 0 NA NA NA NA 208 7981 732 NA NA NA NA 312 8638 770 NA NA NA
