Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469048400.0 1.0 51 76 122 NA NA NA NA NA 97 143 174 NA NA NA NA NA 3167 688 861 NA NA NA NA NA 3364 727 900 NA NA NA NA NA
1469048400.0 10.0 NA 77 189 0 NA NA NA NA NA 148 246 0 NA NA NA NA NA 2423 2795 929 NA NA NA NA NA 2469 2855 944 NA NA NA NA
1469048400.0 1000.0 NA 192 115 0 46 NA NA NA NA 263 175 0 77 NA NA NA NA 3013 552 894 194 NA NA NA NA 3275 901 1041 257 NA NA NA
1469048400.0 1001.0 NA 175 165 0 0 0 0 0 NA 235 205 0 0 0 0 0 NA 2677 613 10 102 601 76 721 NA 2741 686 14 109 652 91 741
1469048400.0 1002.0 NA 193 58 NA NA NA NA NA NA 266 98 NA NA NA NA NA NA 4163 259 NA NA NA NA NA NA 4419 285 NA NA NA NA NA
1469048400.0 1003.0 NA 168 0 NA NA NA NA NA NA 231 0 NA NA NA NA NA NA 5590 793 NA NA NA NA NA NA 6080 829 NA NA NA NA NA
1469048400.0 1004.0 NA 168 134 0 0 0 0 NA NA 233 166 0 0 0 0 NA NA 1056 388 11 99 882 1008 NA NA 1096 402 35 142 893 1064 NA
1469048400.0 101.0 77 NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA 1876 NA NA NA NA NA NA NA 1935 NA NA NA NA NA NA NA
1469048400.0 102.0 77 NA NA NA NA NA NA NA 135 NA NA NA NA NA NA NA 1320 NA NA NA NA NA NA NA 1348 NA NA NA NA NA NA NA
1469048400.0 103.0 45 73 178 NA NA NA NA NA 91 145 245 NA NA NA NA NA 1170 421 932 NA NA NA NA NA 1208 461 988 NA NA NA NA NA
1469048400.0 105.0 50 72 21 NA NA NA NA NA 97 146 53 NA NA NA NA NA 2803 735 5 NA NA NA NA NA 2931 804 9 NA NA NA NA NA
1469048400.0 106.0 36 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 657 279 377 NA NA NA NA NA 682 321 415 NA NA NA NA NA
1469048400.0 107.0 52 73 184 NA NA NA NA NA 98 146 245 NA NA NA NA NA 4328 502 753 NA NA NA NA NA 4562 584 985 NA NA NA NA NA
1469048400.0 108.0 54 85 188 NA NA NA NA NA 100 145 245 NA NA NA NA NA 5951 483 1031 NA NA NA NA NA 6052 506 1071 NA NA NA NA NA
1469048400.0 109.0 56 83 186 NA NA NA NA NA 101 146 245 NA NA NA NA NA 7299 558 1040 NA NA NA NA NA 7672 648 1083 NA NA NA NA NA
1469048400.0 11.0 NA 76 194 0 51 NA NA NA NA 147 253 0 89 NA NA NA NA 1964 1366 1112 57 NA NA NA NA 2092 1841 1128 70 NA NA NA
