Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470085200.0 1364.0 186 279 0 229 327 0 993 1546 2842 1226 1786 2982
1470085200.0 1365.0 188 281 0 233 327 0 1032 1650 2788 1261 1866 2819
1470085200.0 1366.0 187 281 0 228 327 0 1002 1597 2797 1167 1894 2828
