Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470171600.0 10224.0 NA 148 311 0 NA 207 396 0 NA 4285 6367 1050 NA 8285 9454 1207
1470171600.0 10225.0 NA 146 319 0 NA 211 400 0 NA 4743 6805 1024 NA 13884 14349 1360
1470171600.0 10826.0 106 NA NA NA 156 NA NA NA 41126 NA NA NA 41407 NA NA NA
1470171600.0 11026.0 106 215 96 NA 155 261 133 NA 40687 6114 2356 NA 40799 6298 2555 NA
1470171600.0 1303.0 64 172 192 NA 110 206 246 NA 18145 829 1641 NA 18276 1062 2017 NA
1470171600.0 136.721 NA 171 268 0 NA 230 325 0 NA 6734 16232 1804 NA 7063 16501 1951
1470171600.0 136.722 NA 177 295 0 NA 234 348 0 NA 8097 18066 1904 NA 8298 18533 1946
1470171600.0 136.723 NA 181 281 0 NA 232 324 0 NA 7658 17591 1856 NA 7836 17933 2034
1470171600.0 136.724 NA 191 290 0 NA 239 329 0 NA 8882 21586 1949 NA 9209 21962 2107
1470171600.0 136.726 NA 173 271 0 NA 234 329 0 NA 8592 18685 1931 NA 8887 19020 1962
1470171600.0 136.727 NA 222 284 0 NA 281 340 0 NA 7695 16950 1884 NA 7953 17419 1926
1470171600.0 136.728 NA 225 282 0 NA 271 335 0 NA 8538 18502 2009 NA 8740 18855 2180
1470171600.0 136.729 NA 175 271 0 NA 229 323 0 NA 7279 18088 1839 NA 7691 18448 1986
1470171600.0 136.73 NA 174 299 0 NA 231 352 0 NA 7960 18040 1874 NA 8278 18419 1909
1470171600.0 136.731 NA 175 274 0 NA 235 327 0 NA 8195 18498 1904 NA 8412 18818 1947
1470171600.0 136.7321 NA 169 287 0 NA 235 344 0 NA 4009 12610 1905 NA 4186 12944 2057
1470171600.0 136.734 NA 176 270 0 NA 235 328 0 NA 8010 18049 1889 NA 8287 18515 2031
1470171600.0 250200.0 NA 240 308 0 NA 304 369 0 NA 25750 6830 2946 NA 26889 7082 3118
1470171600.0 250202.0 NA 252 318 0 NA 305 385 0 NA 29168 8032 2957 NA 29917 8282 3001
1470171600.0 250203.0 NA 236 301 0 NA 300 368 0 NA 26968 5785 2951 NA 28645 6030 3111
1470171600.0 250204.0 NA 242 303 0 NA 300 367 0 NA 27085 5939 2878 NA 27840 6223 2931
1470171600.0 250205.0 NA 239 304 0 NA 306 362 0 NA 24816 5346 2983 NA 25298 5734 3038
1470171600.0 250206.0 NA 245 299 0 NA 298 365 0 NA 25068 6530 2925 NA 26348 6729 3081
1470171600.0 250207.0 NA 219 304 0 NA 290 359 0 NA 20770 4896 2842 NA 21216 5271 2879
1470171600.0 25200.0 NA 217 335 0 NA 290 416 0 NA 5390 6688 2948 NA 7353 9195 3112
1470171600.0 25202.0 NA 227 339 0 NA 288 426 0 NA 6072 7639 2998 NA 10024 10414 3140
1470171600.0 25204.0 NA 212 333 0 NA 277 417 0 NA 5486 7189 3008 NA 8732 9911 3061
1470171600.0 25205.0 NA 214 331 0 NA 282 416 0 NA 5615 6657 3001 NA 10390 9328 3140
1470171600.0 25206.0 NA 210 339 0 NA 279 414 0 NA 5577 7519 3032 NA 11188 12279 3186
1470171600.0 25207.0 NA 212 344 0 NA 281 418 0 NA 5512 6757 2961 NA 9218 9020 3012
1470171600.0 25208.0 NA 218 342 0 NA 293 420 0 NA 6148 9613 3016 NA 6453 12206 3171
1470171600.0 25209.0 NA 215 350 0 NA 283 417 0 NA 6291 8505 3019 NA 6932 10869 3073
1470171600.0 36.0 NA 97 232 0 NA 159 278 0 NA 4745 20833 1109 NA 4873 21162 1140
1470171600.0 4.77 NA 73 257 0 NA 101 312 0 NA 270 19281 897 NA 401 19729 947
