Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469091600.0 1.0 58 75 153 NA NA NA NA NA 107 138 192 NA NA NA NA NA 3608 612 496 NA NA NA NA NA 3644 675 711 NA NA NA NA NA
1469091600.0 10.0 NA 96 229 0 NA NA NA NA NA 160 274 0 NA NA NA NA NA 4871 4116 1101 NA NA NA NA NA 5006 4286 1241 NA NA NA NA
1469091600.0 1000.0 NA 244 156 0 60 NA NA NA NA 304 203 0 84 NA NA NA NA 4032 674 868 176 NA NA NA NA 4286 739 907 193 NA NA NA
1469091600.0 1001.0 NA 211 193 0 0 0 0 0 NA 265 224 0 0 0 0 0 NA 3591 537 8 87 899 46 949 NA 3962 673 10 198 911 57 1068
1469091600.0 1002.0 NA 238 77 NA NA NA NA NA NA 297 104 NA NA NA NA NA NA 4021 232 NA NA NA NA NA NA 4417 238 NA NA NA NA NA
1469091600.0 10021.0 NA 112 254 0 NA NA NA NA NA 200 329 0 NA NA NA NA NA 764 1698 843 NA NA NA NA NA 898 1957 992 NA NA NA NA
1469091600.0 10023.0 NA 117 258 0 NA NA NA NA NA 199 329 0 NA NA NA NA NA 722 1115 799 NA NA NA NA NA 946 1295 843 NA NA NA NA
1469091600.0 10024.0 NA 112 265 0 NA NA NA NA NA 199 329 0 NA NA NA NA NA 812 1512 907 NA NA NA NA NA 948 1813 948 NA NA NA NA
1469091600.0 10024.1 NA 113 159 0 NA NA NA NA NA 199 216 0 NA NA NA NA NA 822 787 723 NA NA NA NA NA 1031 1011 730 NA NA NA NA
1469091600.0 10024.2 NA 123 262 0 NA NA NA NA NA 199 328 0 NA NA NA NA NA 814 1536 886 NA NA NA NA NA 1179 1963 931 NA NA NA NA
1469091600.0 10024.3 NA 113 160 0 NA NA NA NA NA 199 212 0 NA NA NA NA NA 799 783 650 NA NA NA NA NA 960 1058 771 NA NA NA NA
1469091600.0 10024.4 NA 121 259 0 NA NA NA NA NA 199 328 0 NA NA NA NA NA 807 1608 896 NA NA NA NA NA 921 1899 1043 NA NA NA NA
1469091600.0 10024.5 NA 113 154 0 NA NA NA NA NA 199 212 0 NA NA NA NA NA 821 758 657 NA NA NA NA NA 1065 987 775 NA NA NA NA
1469091600.0 10025.0 NA 121 260 0 NA NA NA NA NA 200 329 0 NA NA NA NA NA 772 1330 901 NA NA NA NA NA 915 1622 1058 NA NA NA NA
1469091600.0 10026.0 NA 122 263 0 NA NA NA NA NA 199 329 0 NA NA NA NA NA 832 1876 890 NA NA NA NA NA 970 2112 934 NA NA NA NA
1469091600.0 1003.0 NA 201 0 NA NA NA NA NA NA 267 0 NA NA NA NA NA NA 5992 635 NA NA NA NA NA NA 6224 794 NA NA NA NA NA
1469091600.0 1004.0 NA 203 149 0 0 0 0 NA NA 256 183 0 0 0 0 NA NA 949 293 10 89 964 945 NA NA 1204 462 113 97 1083 1059 NA
1469091600.0 101.0 95 NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA 2316 NA NA NA NA NA NA NA 2540 NA NA NA NA NA NA NA
1469091600.0 102.0 93 NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA 1755 NA NA NA NA NA NA NA 1861 NA NA NA NA NA NA NA
1469091600.0 10224.0 NA 164 332 0 NA NA NA NA NA 212 408 0 NA NA NA NA NA 4263 7753 1084 NA NA NA NA NA 8180 11493 1128 NA NA NA NA
1469091600.0 10225.0 NA 149 341 0 NA NA NA NA NA 211 409 0 NA NA NA NA NA 4347 7175 1047 NA NA NA NA NA 12143 14449 1192 NA NA NA NA
1469091600.0 103.0 46 0 0 NA NA NA NA NA 80 0 0 NA NA NA NA NA 796 132 263 NA NA NA NA NA 856 478 561 NA NA NA NA NA
1469091600.0 105.0 58 83 36 NA NA NA NA NA 107 147 56 NA NA NA NA NA 3625 675 4 NA NA NA NA NA 3809 798 7 NA NA NA NA NA
1469091600.0 106.0 45 0 0 NA NA NA NA NA 80 0 0 NA NA NA NA NA 802 141 286 NA NA NA NA NA 824 218 461 NA NA NA NA NA
1469091600.0 10621.0 90 88 157 0 NA NA NA NA 130 129 191 0 NA NA NA NA 2730 1196 1355 276 NA NA NA NA 2801 1322 1536 496 NA NA NA NA
1469091600.0 10624.0 97 89 162 0 NA NA NA NA 144 130 194 0 NA NA NA NA 10913 1203 1060 584 NA NA NA NA 11295 1297 1377 594 NA NA NA NA
1469091600.0 10625.0 96 88 156 0 NA NA NA NA 146 130 191 0 NA NA NA NA 8373 1216 897 493 NA NA NA NA 8507 1450 1157 646 NA NA NA NA
1469091600.0 10626.0 100 91 166 0 NA NA NA NA 148 130 195 0 NA NA NA NA 18002 1256 1309 593 NA NA NA NA 19241 1458 1553 616 NA NA NA NA
1469091600.0 107.0 59 93 222 NA NA NA NA NA 108 147 265 NA NA NA NA NA 6595 693 847 NA NA NA NA NA 6744 854 1053 NA NA NA NA NA
1469091600.0 108.0 61 93 232 NA NA NA NA NA 109 147 268 NA NA NA NA NA 10295 722 1083 NA NA NA NA NA 10459 821 1316 NA NA NA NA NA
1469091600.0 10821.0 101 NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA 6411 NA NA NA NA NA NA NA 6589 NA NA NA NA NA NA NA
