Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1468962000.0 1.0 51 71 130 NA NA NA NA NA 96 133 184 NA NA NA NA NA 2945 304 1206 NA NA NA NA NA 3215 346 1263 NA NA NA NA NA
1468962000.0 10.0 NA 91 198 0 NA NA NA NA NA 152 257 0 NA NA NA NA NA 2231 2289 647 NA NA NA NA NA 2283 2462 667 NA NA NA NA
1468962000.0 1000.0 NA 212 126 0 47 NA NA NA NA 280 185 0 80 NA NA NA NA 3614 472 482 110 NA NA NA NA 3960 1010 495 157 NA NA NA
1468962000.0 1001.0 NA 185 169 0 0 0 0 0 NA 245 217 0 0 0 0 0 NA 1865 392 6 62 510 36 676 NA 1971 430 10 68 526 56 693
1468962000.0 1002.0 NA 212 60 NA NA NA NA NA NA 280 101 NA NA NA NA NA NA 2234 144 NA NA NA NA NA NA 2874 168 NA NA NA NA NA
1468962000.0 10021.0 NA 108 235 0 NA NA NA NA NA 175 319 0 NA NA NA NA NA 407 1317 447 NA NA NA NA NA 508 1580 467 NA NA NA NA
1468962000.0 10023.0 NA 99 228 0 NA NA NA NA NA 177 320 0 NA NA NA NA NA 348 955 353 NA NA NA NA NA 817 1059 379 NA NA NA NA
1468962000.0 10024.0 NA 104 239 0 NA NA NA NA NA 175 319 0 NA NA NA NA NA 435 1262 473 NA NA NA NA NA 594 1371 490 NA NA NA NA
1468962000.0 10024.1 NA 103 144 0 NA NA NA NA NA 177 217 0 NA NA NA NA NA 390 454 299 NA NA NA NA NA 1048 549 319 NA NA NA NA
1468962000.0 10024.2 NA 106 238 0 NA NA NA NA NA 175 318 0 NA NA NA NA NA 428 1318 457 NA NA NA NA NA 538 1399 484 NA NA NA NA
1468962000.0 10024.3 NA 102 138 0 NA NA NA NA NA 177 213 0 NA NA NA NA NA 398 439 259 NA NA NA NA NA 590 881 273 NA NA NA NA
1468962000.0 10024.4 NA 106 230 0 NA NA NA NA NA 175 318 0 NA NA NA NA NA 449 1319 433 NA NA NA NA NA 545 1460 465 NA NA NA NA
1468962000.0 10024.5 NA 103 135 0 NA NA NA NA NA 177 213 0 NA NA NA NA NA 405 446 259 NA NA NA NA NA 592 908 273 NA NA NA NA
1468962000.0 10025.0 NA 104 227 0 NA NA NA NA NA 175 319 0 NA NA NA NA NA 427 1246 485 NA NA NA NA NA 522 1407 513 NA NA NA NA
1468962000.0 10026.0 NA 105 229 0 NA NA NA NA NA 175 319 0 NA NA NA NA NA 448 1992 489 NA NA NA NA NA 527 2468 546 NA NA NA NA
1468962000.0 1003.0 NA 179 0 NA NA NA NA NA NA 250 0 NA NA NA NA NA NA 3163 341 NA NA NA NA NA NA 3258 366 NA NA NA NA NA
1468962000.0 1004.0 NA 178 131 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 471 162 6 50 345 343 NA NA 528 172 18 67 354 363 NA
1468962000.0 101.0 80 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1867 NA NA NA NA NA NA NA 1919 NA NA NA NA NA NA NA
1468962000.0 102.0 82 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 1303 NA NA NA NA NA NA NA 1332 NA NA NA NA NA NA NA
