Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470171600.0 134.908 NA 77 233 0 NA 147 295 0 NA 430 5706 631 NA 549 6070 689
1470171600.0 135.11 239 0 101 NA 315 0 160 NA 1679 384 369 NA 1882 415 444 NA
1470171600.0 250402.0 237 0 102 NA 321 0 161 NA 1643 361 384 NA 1972 391 451 NA
1470171600.0 250406.0 233 0 99 NA 316 0 161 NA 973 331 269 NA 1185 353 323 NA
1470171600.0 250408.0 236 0 100 NA 319 0 161 NA 1554 358 377 NA 1778 386 453 NA
