Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470214800.0 1.0 47 64 121 NA NA 93 134 171 NA NA 2798 341 329 NA NA 2907 363 436 NA NA
1470214800.0 1002.0 NA 208 58 NA NA NA 277 99 NA NA NA 2152 161 NA NA NA 2318 186 NA NA
1470214800.0 10023.0 NA 100 222 0 NA NA 176 315 0 NA NA 455 621 405 NA NA 636 972 463 NA
1470214800.0 10024.1 NA 103 140 0 NA NA 176 212 0 NA NA 513 446 359 NA NA 610 518 370 NA
1470214800.0 1003.0 NA 175 0 NA NA NA 235 0 NA NA NA 3158 375 NA NA NA 3256 421 NA NA
1470214800.0 101.0 78 NA NA NA NA 138 NA NA NA NA 927 NA NA NA NA 965 NA NA NA NA
1470214800.0 102.0 78 NA NA NA NA 138 NA NA NA NA 647 NA NA NA NA 678 NA NA NA NA
1470214800.0 10224.0 NA 145 285 0 NA NA 205 386 0 NA NA 2689 3948 508 NA NA 6835 9102 526 NA
1470214800.0 10225.0 NA 142 291 0 NA NA 210 390 0 NA NA 1924 2699 352 NA NA 11025 21181 404 NA
1470214800.0 103.0 33 0 0 NA NA 75 0 0 NA NA 314 67 116 NA NA 326 76 160 NA NA
1470214800.0 105.0 48 81 26 NA NA 93 142 56 NA NA 2737 382 3 NA NA 2836 402 10 NA NA
1470214800.0 106.0 34 0 0 NA NA 75 0 0 NA NA 313 60 118 NA NA 328 90 127 NA NA
1470214800.0 10621.0 73 75 148 0 NA 114 120 194 0 NA 1687 907 794 304 NA 1901 1279 872 330 NA
1470214800.0 10626.0 84 80 152 0 NA 130 127 198 0 NA 15954 1338 1385 658 NA 17432 1477 1494 687 NA
1470214800.0 107.0 46 67 189 NA NA 94 142 254 NA NA 6834 778 851 NA NA 7172 804 901 NA NA
1470214800.0 108.0 51 83 193 NA NA 97 142 254 NA NA 10274 670 1168 NA NA 10922 732 1240 NA NA
1470214800.0 10821.0 83 NA NA NA NA 125 NA NA NA NA 3439 NA NA NA NA 3524 NA NA NA NA
1470214800.0 10824.0 97 NA NA NA NA 142 NA NA NA NA 13174 NA NA NA NA 13531 NA NA NA NA
1470214800.0 10825.0 95 NA NA NA NA 141 NA NA NA NA 17687 NA NA NA NA 18847 NA NA NA NA
1470214800.0 10826.0 98 NA NA NA NA 147 NA NA NA NA 15281 NA NA NA NA 16125 NA NA NA NA
1470214800.0 109.0 52 82 195 NA NA 97 142 256 NA NA 9764 895 969 NA NA 10367 1028 1051 NA NA
1470214800.0 110.0 42 80 187 NA NA 86 142 254 NA NA 467 251 280 NA NA 483 267 300 NA NA
1470214800.0 1102.0 NA 82 195 103 61 NA 151 259 155 112 NA 4802 5120 2654 257 NA 4866 5215 2836 270
1470214800.0 11024.0 97 210 82 NA NA 143 254 124 NA NA 13249 3016 1229 NA NA 13516 3084 1295 NA NA
1470214800.0 11025.0 95 204 82 NA NA 141 254 124 NA NA 16373 6099 2746 NA NA 16858 6219 2864 NA NA
1470214800.0 11026.0 95 214 84 NA NA 147 256 126 NA NA 22287 3086 1181 NA NA 23750 3145 1234 NA NA
1470214800.0 11221.0 77 78 150 0 NA 119 132 195 0 NA 1745 789 798 309 NA 1847 972 1140 333 NA
1470214800.0 11224.0 89 80 153 0 NA 135 127 197 0 NA 11023 1663 1169 600 NA 11526 2157 2316 628 NA
1470214800.0 116.0 50 72 188 NA NA 96 143 254 NA NA 9020 765 943 NA NA 9439 790 979 NA NA
1470214800.0 117.0 52 80 190 NA NA 97 142 254 NA NA 10484 773 978 NA NA 11097 809 1121 NA NA
1470214800.0 118.0 53 72 190 NA NA 97 142 254 NA NA 9889 710 1066 NA NA 10384 853 1208 NA NA
1470214800.0 119.0 49 81 188 NA NA 94 142 254 NA NA 6415 724 949 NA NA 6632 886 1048 NA NA
1470214800.0 120.0 41 68 189 NA NA 85 142 254 NA NA 387 247 265 NA NA 397 271 368 NA NA
1470214800.0 121.0 53 71 193 NA NA 98 142 255 NA NA 10237 829 1027 NA NA 11086 1028 1101 NA NA
1470214800.0 122.0 45 74 186 NA NA 92 142 254 NA NA 646 143 261 NA NA 816 155 312 NA NA
1470214800.0 123.1 179 NA NA NA NA 243 NA NA NA NA 502 NA NA NA NA 565 NA NA NA NA
1470214800.0 123.2 179 NA NA NA NA 246 NA NA NA NA 522 NA NA NA NA 550 NA NA NA NA
1470214800.0 123.3 169 NA NA NA NA 228 NA NA NA NA 295 NA NA NA NA 320 NA NA NA NA
1470214800.0 124.1 175 NA NA NA NA 238 NA NA NA NA 302 NA NA NA NA 334 NA NA NA NA
1470214800.0 124.2 179 NA NA NA NA 243 NA NA NA NA 502 NA NA NA NA 542 NA NA NA NA
1470214800.0 124.4 174 NA NA NA NA 238 NA NA NA NA 301 NA NA NA NA 332 NA NA NA NA
1470214800.0 124.5 177 NA NA NA NA 238 NA NA NA NA 312 NA NA NA NA 338 NA NA NA NA
1470214800.0 124.6 166 NA NA NA NA 228 NA NA NA NA 310 NA NA NA NA 334 NA NA NA NA
1470214800.0 126.0 42 69 188 NA NA 87 142 254 NA NA 1451 381 395 NA NA 1468 402 445 NA NA
1470214800.0 127.0 41 68 188 NA NA 86 142 254 NA NA 1404 367 394 NA NA 1420 387 423 NA NA
1470214800.0 128.0 45 69 185 NA NA 81 142 254 NA NA 362 276 269 NA NA 481 292 296 NA NA
1470214800.0 129.0 41 71 188 NA NA 81 142 254 NA NA 375 250 283 NA NA 465 445 343 NA NA
1470214800.0 13.0 NA 75 192 0 NA NA 151 254 0 NA NA 304 893 519 NA NA 333 928 537 NA
1470214800.0 130.0 41 77 187 NA NA 86 142 254 NA NA 459 250 265 NA NA 500 275 291 NA NA
1470214800.0 1302.0 60 142 158 NA NA 105 201 228 NA NA 10037 1092 1059 NA NA 10612 1240 1709 NA NA
1470214800.0 1303.0 61 137 161 NA NA 105 200 229 NA NA 9632 581 991 NA NA 10218 956 1106 NA NA
1470214800.0 1307.0 NA 135 129 47 0 NA 208 202 80 0 NA 577 567 68 592 NA 1069 655 331 617
1470214800.0 1308.0 NA 135 131 48 0 NA 218 202 81 0 NA 543 505 55 555 NA 649 583 72 572
1470214800.0 1309.0 NA 166 248 0 NA NA 228 316 0 NA NA 1330 1903 2696 NA NA 1670 2062 2735 NA
1470214800.0 131.0 42 70 189 NA NA 88 152 254 NA NA 1538 383 439 NA NA 1570 408 471 NA NA
1470214800.0 1312.0 NA 165 237 0 NA NA 226 316 0 NA NA 1261 2036 2430 NA NA 1851 2163 2480 NA
1470214800.0 1313.0 NA 169 241 0 NA NA 234 316 0 NA NA 1116 2871 2294 NA NA 1223 3253 2721 NA
1470214800.0 1317.0 NA 156 234 0 NA NA 216 315 0 NA NA 1117 1559 2547 NA NA 1274 1747 2598 NA
1470214800.0 1325.1 NA 167 135 0 NA NA 229 183 0 NA NA 803 432 307 NA NA 882 509 319 NA
1470214800.0 1325.2 NA 167 244 0 NA NA 229 316 0 NA NA 1316 1873 2282 NA NA 1470 2135 2351 NA
1470214800.0 1325.3 NA 169 133 0 NA NA 230 179 0 NA NA 737 411 296 NA NA 816 505 310 NA
1470214800.0 133.0 51 74 193 NA NA 98 142 254 NA NA 12322 830 1309 NA NA 13074 925 1381 NA NA
1470214800.0 1330.0 NA 160 238 0 NA NA 221 316 0 NA NA 1191 1949 2604 NA NA 1386 2198 2721 NA
1470214800.0 1331.0 NA 162 240 0 NA NA 223 316 0 NA NA 1050 1489 2438 NA NA 1197 1633 2520 NA
1470214800.0 1333.0 NA 164 241 0 NA NA 222 316 0 NA NA 1143 1594 2667 NA NA 1479 1781 2705 NA
1470214800.0 1337.0 NA 168 242 0 NA NA 230 324 0 NA NA 1434 2613 2665 NA NA 1615 3344 3705 NA
1470214800.0 134.0 NA 206 35 0 NA NA 277 70 0 NA NA 2538 9 9 NA NA 2614 12 21 NA
1470214800.0 134.702 NA 41 226 0 NA NA 83 279 0 NA NA 288 10249 843 NA NA 452 11141 870 NA
1470214800.0 134.703 NA 36 231 0 NA NA 87 290 0 NA NA 282 10256 839 NA NA 442 11280 865 NA
1470214800.0 134.704 NA 34 222 0 NA NA 83 279 0 NA NA 266 10000 827 NA NA 302 10841 861 NA
1470214800.0 134.705 NA 37 231 0 NA NA 87 287 0 NA NA 297 10464 804 NA NA 415 11180 855 NA
1470214800.0 134.706 NA 44 231 0 NA NA 86 286 0 NA NA 274 11406 812 NA NA 303 12634 906 NA
1470214800.0 134.707 NA 37 222 0 NA NA 86 279 0 NA NA 272 10108 841 NA NA 340 11247 937 NA
1470214800.0 134.708 NA 45 222 0 NA NA 84 279 0 NA NA 271 8788 762 NA NA 350 9570 793 NA
1470214800.0 134.709 NA 46 226 0 NA NA 87 298 0 NA NA 280 10395 768 NA NA 305 10661 791 NA
1470214800.0 134.71 NA 32 219 0 NA NA 80 279 0 NA NA 301 6785 769 NA NA 331 7933 802 NA
1470214800.0 134.802 NA 41 227 0 NA NA 87 283 0 NA NA 391 13702 801 NA NA 422 14139 829 NA
1470214800.0 134.803 NA 44 226 0 NA NA 87 280 0 NA NA 342 11368 753 NA NA 445 13142 795 NA
1470214800.0 134.804 NA 40 229 0 NA NA 86 291 0 NA NA 332 12926 811 NA NA 372 13137 839 NA
1470214800.0 134.805 NA 43 243 0 NA NA 89 293 0 NA NA 354 12516 794 NA NA 375 19929 815 NA
1470214800.0 134.806 NA 44 233 0 NA NA 85 291 0 NA NA 392 14721 865 NA NA 533 15643 921 NA
1470214800.0 134.807 NA 82 237 0 NA NA 144 300 0 NA NA 1073 12898 872 NA NA 1140 13570 899 NA
1470214800.0 134.808 NA 85 244 0 NA NA 144 303 0 NA NA 1101 13231 820 NA NA 1188 13457 842 NA
1470214800.0 134.809 NA 40 221 0 NA NA 84 281 0 NA NA 347 12274 751 NA NA 378 12672 780 NA
1470214800.0 134.81 NA 38 219 0 NA NA 85 281 0 NA NA 341 11878 840 NA NA 382 12518 866 NA
1470214800.0 134.811 NA 44 229 0 NA NA 86 288 0 NA NA 339 13460 800 NA NA 376 14323 830 NA
1470214800.0 134.813 NA 117 60 0 NA NA 197 93 0 NA NA 476 60 116 NA NA 669 91 131 NA
1470214800.0 134.901 NA 43 220 0 NA NA 85 279 0 NA NA 265 7083 964 NA NA 326 7239 1010 NA
1470214800.0 134.902 NA 45 222 0 NA NA 88 279 0 NA NA 317 9699 901 NA NA 391 11587 939 NA
1470214800.0 134.904 NA 38 226 0 NA NA 86 281 0 NA NA 319 10657 759 NA NA 371 11212 910 NA
1470214800.0 134.905 NA 39 217 0 NA NA 86 279 0 NA NA 291 8731 978 NA NA 320 9843 1026 NA
1470214800.0 134.906 NA 37 222 0 NA NA 86 279 0 NA NA 364 10424 774 NA NA 383 11086 802 NA
1470214800.0 134.907 NA 84 248 0 NA NA 144 292 0 NA NA 869 9262 865 NA NA 934 9483 923 NA
1470214800.0 134.908 NA 87 239 0 NA NA 146 295 0 NA NA 928 9167 865 NA NA 1084 9623 898 NA
1470214800.0 134.909 NA 36 219 0 NA NA 87 279 0 NA NA 381 9535 788 NA NA 407 10141 823 NA
1470214800.0 134.91 NA 36 219 0 NA NA 86 279 0 NA NA 298 8303 749 NA NA 358 9265 771 NA
1470214800.0 134.911 NA 42 221 0 NA NA 85 279 0 NA NA 299 9082 764 NA NA 333 9209 784 NA
1470214800.0 134.99601 NA 44 229 0 NA NA 86 282 0 NA NA 384 14838 836 NA NA 513 15856 877 NA
1470214800.0 134.99603 NA 44 221 0 NA NA 86 280 0 NA NA 336 11682 855 NA NA 380 12348 903 NA
1470214800.0 134.99901 NA 40 220 0 NA NA 86 279 0 NA NA 299 8502 770 NA NA 329 8833 800 NA
1470214800.0 1349.0 NA 161 238 0 NA NA 220 316 0 NA NA 417 628 875 NA NA 780 934 886 NA
1470214800.0 135.1 228 0 99 NA NA 304 0 160 NA NA 1719 595 412 NA NA 2380 691 951 NA NA
1470214800.0 135.11 239 0 107 NA NA 315 0 160 NA NA 2401 614 592 NA NA 2550 662 1096 NA NA
1470214800.0 135.12 225 0 100 NA NA 301 0 159 NA NA 1575 640 352 NA NA 3034 701 442 NA NA
1470214800.0 135.2 211 0 96 NA NA 282 0 159 NA NA 1287 472 405 NA NA 1824 491 541 NA NA
1470214800.0 135.3 214 0 106 NA NA 282 0 159 NA NA 986 588 322 NA NA 1495 631 447 NA NA
1470214800.0 135.4 225 0 99 NA NA 300 0 159 NA NA 1616 559 417 NA NA 1950 649 1056 NA NA
1470214800.0 135.5 222 0 98 NA NA 299 0 159 NA NA 1393 635 358 NA NA 2254 687 748 NA NA
1470214800.0 135.6 225 0 100 NA NA 302 0 160 NA NA 1640 547 401 NA NA 2701 607 791 NA NA
1470214800.0 135.7 223 0 99 NA NA 299 0 159 NA NA 1409 588 374 NA NA 2588 632 739 NA NA
1470214800.0 135.8 81 NA NA NA NA 141 NA NA NA NA 202 NA NA NA NA 510 NA NA NA NA
1470214800.0 135.9 222 0 97 NA NA 300 0 159 NA NA 1204 622 337 NA NA 2146 696 728 NA NA
1470214800.0 1356.0 59 161 240 0 104 104 212 317 0 163 6895 657 1029 1555 233 7340 721 1118 3027 326
