Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470258000.0 108.0 50 80 187 NA NA 96 141 249 NA NA 9312 482 665 NA NA 10041 575 740 NA NA
1470258000.0 109.0 51 71 190 NA NA 96 141 249 NA NA 8646 531 692 NA NA 9383 711 787 NA NA
1470258000.0 11224.0 87 77 147 0 NA 134 125 193 0 NA 9683 1349 1031 560 NA 14893 1811 1123 579 NA
1470258000.0 134.803 NA 38 220 0 NA NA 87 275 0 NA NA 362 11078 790 NA NA 558 12353 826 NA
1470258000.0 135.1 225 0 94 NA NA 300 0 154 NA NA 1425 520 267 NA NA 2166 552 838 NA NA
1470258000.0 135.3 206 0 93 NA NA 278 0 154 NA NA 884 473 247 NA NA 1624 547 812 NA NA
1470258000.0 135.9 219 0 93 NA NA 295 0 154 NA NA 952 506 249 NA NA 1597 556 811 NA NA
1470258000.0 136.732 NA 154 224 0 NA NA 219 287 0 NA NA 3854 9822 1542 NA NA 4545 11986 1588 NA
1470258000.0 25.0 NA 85 202 0 61 NA 150 265 0 93 NA 2940 3619 831 75 NA 3010 3986 898 135
1470258000.0 250200.1 57 193 171 NA NA 104 254 230 NA NA 8827 2568 2293 NA NA 9780 4209 2474 NA NA
1470258000.0 250405.0 223 0 95 NA NA 312 0 155 NA NA 1899 493 468 NA NA 7662 621 833 NA NA
1470258000.0 250406.0 228 0 97 NA NA 310 0 155 NA NA 1237 501 281 NA NA 1980 544 841 NA NA
1470258000.0 25405.0 262 0 97 NA NA 364 0 155 NA NA 5943 559 482 NA NA 8733 577 618 NA NA
1470258000.0 3.0 46 70 119 NA NA 95 134 174 NA NA 12460 475 1917 NA NA 16147 567 2053 NA NA
1470258000.0 4.62 NA 38 213 0 NA NA 78 268 0 NA NA 273 10520 837 NA NA 424 11837 872 NA
1470258000.0 4.68 NA 49 211 0 NA NA 86 268 0 NA NA 131 8089 669 NA NA 160 8719 698 NA
1470258000.0 4.75 NA 37 207 0 NA NA 78 268 0 NA NA 271 11627 742 NA NA 333 16574 762 NA
1470258000.0 4.77 NA 56 218 0 NA NA 91 279 0 NA NA 284 15466 812 NA NA 418 16441 863 NA
1470258000.0 50200.0 NA 104 255 0 NA NA 163 336 0 NA NA 2533 3703 945 NA NA 4737 10204 991 NA
1470258000.0 50204.0 NA 103 253 0 NA NA 159 335 0 NA NA 2507 3758 863 NA NA 4478 8487 897 NA
1470258000.0 50208.0 NA 107 257 0 NA NA 163 348 0 NA NA 2383 5760 962 NA NA 2859 13304 986 NA
