Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1468486800.0 1.0 52 70 128 NA NA NA NA NA 97 145 180 NA NA NA NA NA 3622 552 1983 NA NA NA NA NA 3774 644 2117 NA NA NA NA NA
1468486800.0 10.0 NA 82 192 0 NA NA NA NA NA 151 254 0 NA NA NA NA NA 2794 3103 909 NA NA NA NA NA 3060 3323 955 NA NA NA NA
1468486800.0 1000.0 NA 209 124 0 45 NA NA NA NA 274 179 0 78 NA NA NA NA 2646 388 430 103 NA NA NA NA 3123 598 448 324 NA NA NA
1468486800.0 1001.0 NA 180 165 0 0 0 0 0 NA 241 214 0 0 0 0 0 NA 1642 348 7 79 438 39 400 NA 1760 380 27 95 444 73 432
1468486800.0 1002.0 NA 205 59 NA NA NA NA NA NA 274 98 NA NA NA NA NA NA 2108 133 NA NA NA NA NA NA 2374 180 NA NA NA NA NA
1468486800.0 10021.0 NA 105 224 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 663 1597 628 NA NA NA NA NA 793 1701 641 NA NA NA NA
1468486800.0 10023.0 NA 98 228 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 540 1345 631 NA NA NA NA NA 627 1462 687 NA NA NA NA
1468486800.0 10024.0 NA 102 234 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 681 1623 658 NA NA NA NA NA 828 1731 672 NA NA NA NA
1468486800.0 10024.1 NA 102 141 0 NA NA NA NA NA 175 218 0 NA NA NA NA NA 701 756 461 NA NA NA NA NA 828 850 478 NA NA NA NA
1468486800.0 10024.2 NA 102 231 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 750 1867 701 NA NA NA NA NA 868 2085 790 NA NA NA NA
1468486800.0 10024.3 NA 103 137 0 NA NA NA NA NA 175 213 0 NA NA NA NA NA 704 809 447 NA NA NA NA NA 797 926 477 NA NA NA NA
1468486800.0 10024.4 NA 102 222 0 NA NA NA NA NA 176 314 0 NA NA NA NA NA 620 2089 710 NA NA NA NA NA 728 2218 766 NA NA NA NA
1468486800.0 10024.5 NA 102 135 0 NA NA NA NA NA 176 214 0 NA NA NA NA NA 357 424 249 NA NA NA NA NA 745 665 388 NA NA NA NA
1468486800.0 10025.0 NA 103 231 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 642 1994 700 NA NA NA NA NA 789 2156 761 NA NA NA NA
1468486800.0 10026.0 NA 103 227 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 792 2416 635 NA NA NA NA NA 867 2550 651 NA NA NA NA
1468486800.0 1003.0 NA 174 0 NA NA NA NA NA NA 243 0 NA NA NA NA NA NA 4231 611 NA NA NA NA NA NA 4591 649 NA NA NA NA NA
1468486800.0 1004.0 NA 178 132 0 0 0 0 NA NA 238 179 0 0 0 0 NA NA 449 212 6 57 454 436 NA NA 662 365 148 80 460 466 NA
1468486800.0 101.0 81 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1096 NA NA NA NA NA NA NA 1143 NA NA NA NA NA NA NA
1468486800.0 102.0 82 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 745 NA NA NA NA NA NA NA 767 NA NA NA NA NA NA NA
1468486800.0 10224.0 NA 136 295 0 NA NA NA NA NA 211 385 0 NA NA NA NA NA 2341 3868 420 NA NA NA NA NA 6909 8222 436 NA NA NA NA
1468486800.0 10225.0 NA 138 311 0 NA NA NA NA NA 209 389 0 NA NA NA NA NA 2421 3406 330 NA NA NA NA NA 10152 11215 339 NA NA NA NA
1468486800.0 103.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 328 77 165 NA NA NA NA NA 346 92 193 NA NA NA NA NA
1468486800.0 105.0 52 74 21 NA NA NA NA NA 97 146 53 NA NA NA NA NA 3160 545 4 NA NA NA NA NA 3395 585 18 NA NA NA NA NA
1468486800.0 106.0 36 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 321 71 159 NA NA NA NA NA 342 85 191 NA NA NA NA NA
1468486800.0 107.0 52 76 188 NA NA NA NA NA 99 147 251 NA NA NA NA NA 5997 611 833 NA NA NA NA NA 6434 635 881 NA NA NA NA NA
1468486800.0 108.0 55 85 192 NA NA NA NA NA 102 147 251 NA NA NA NA NA 9715 714 989 NA NA NA NA NA 10242 791 1037 NA NA NA NA NA
1468486800.0 10821.0 93 NA NA NA NA NA NA NA 134 NA NA NA NA NA NA NA 6485 NA NA NA NA NA NA NA 6611 NA NA NA NA NA NA NA
1468486800.0 10824.0 107 NA NA NA NA NA NA NA 153 NA NA NA NA NA NA NA 11354 NA NA NA NA NA NA NA 12083 NA NA NA NA NA NA NA
1468486800.0 10825.0 104 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 16531 NA NA NA NA NA NA NA 17247 NA NA NA NA NA NA NA
1468486800.0 10826.0 110 NA NA NA NA NA NA NA 157 NA NA NA NA NA NA NA 18972 NA NA NA NA NA NA NA 19743 NA NA NA NA NA NA NA
1468486800.0 109.0 56 77 196 NA NA NA NA NA 101 147 251 NA NA NA NA NA 9321 692 975 NA NA NA NA NA 9709 859 1024 NA NA NA NA NA
1468486800.0 11.0 NA 78 198 0 50 NA NA NA NA 150 261 0 89 NA NA NA NA 1341 779 560 30 NA NA NA NA 1397 831 587 39 NA NA NA
1468486800.0 110.0 47 75 189 NA NA NA NA NA 89 146 250 NA NA NA NA NA 1014 559 618 NA NA NA NA NA 1054 595 655 NA NA NA NA NA
1468486800.0 1102.0 NA 82 202 123 73 NA NA NA NA 150 260 171 112 NA NA NA NA 3737 4247 3158 246 NA NA NA NA 3809 4281 3176 254 NA NA NA
1468486800.0 111.0 52 83 190 NA NA NA NA NA 98 147 251 NA NA NA NA NA 3615 473 746 NA NA NA NA NA 3688 489 772 NA NA NA NA NA
1468486800.0 112.0 52 80 189 NA NA NA NA NA 99 147 251 NA NA NA NA NA 6385 605 778 NA NA NA NA NA 6803 685 817 NA NA NA NA NA
1468486800.0 113.0 55 81 188 NA NA NA NA NA 101 147 251 NA NA NA NA NA 7679 704 858 NA NA NA NA NA 8296 742 955 NA NA NA NA NA
1468486800.0 114.0 54 78 185 NA NA NA NA NA 101 152 251 NA NA NA NA NA 7611 617 929 NA NA NA NA NA 7854 796 1037 NA NA NA NA NA
1468486800.0 115.0 55 86 193 NA NA NA NA NA 101 147 251 NA NA NA NA NA 7820 680 933 NA NA NA NA NA 8101 746 1184 NA NA NA NA NA
1468486800.0 116.0 54 85 192 NA NA NA NA NA 101 147 251 NA NA NA NA NA 8501 668 911 NA NA NA NA NA 9035 706 940 NA NA NA NA NA
1468486800.0 117.0 56 78 189 NA NA NA NA NA 101 147 251 NA NA NA NA NA 12153 546 834 NA NA NA NA NA 12341 575 960 NA NA NA NA NA
1468486800.0 118.0 56 86 192 NA NA NA NA NA 102 147 251 NA NA NA NA NA 9653 720 979 NA NA NA NA NA 10257 786 1034 NA NA NA NA NA
1468486800.0 119.0 52 76 189 NA NA NA NA NA 98 147 251 NA NA NA NA NA 5570 617 782 NA NA NA NA NA 5679 712 826 NA NA NA NA NA
1468486800.0 12.0 NA 80 194 0 NA NA NA NA NA 149 255 0 NA NA NA NA NA 3401 3502 934 NA NA NA NA NA 3512 3585 958 NA NA NA NA
1468486800.0 120.0 44 73 188 NA NA NA NA NA 89 147 251 NA NA NA NA NA 409 278 340 NA NA NA NA NA 513 320 389 NA NA NA NA NA
1468486800.0 121.0 55 79 190 NA NA NA NA NA 101 147 251 NA NA NA NA NA 9476 671 982 NA NA NA NA NA 10627 697 1140 NA NA NA NA NA
