Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469916000.0 1.0 46 61 116 NA NA NA NA 93 134 167 NA NA NA NA 4033 524 481 NA NA NA NA 4139 571 564 NA NA NA NA
1469916000.0 1000.0 NA 203 116 0 36 NA NA NA 268 178 0 77 NA NA NA 3032 615 828 169 NA NA NA 3267 764 879 233 NA NA
1469916000.0 1002.0 NA 199 55 NA NA NA NA NA 271 95 NA NA NA NA NA 2947 198 NA NA NA NA NA 3164 211 NA NA NA NA
1469916000.0 10021.0 NA 97 208 0 NA NA NA NA 174 309 0 NA NA NA NA 657 1200 650 NA NA NA NA 758 1300 688 NA NA NA
1469916000.0 10024.1 NA 100 136 0 NA NA NA NA 175 210 0 NA NA NA NA 689 609 402 NA NA NA NA 784 680 410 NA NA NA
1469916000.0 10024.3 NA 99 130 0 NA NA NA NA 175 206 0 NA NA NA NA 691 606 365 NA NA NA NA 772 666 375 NA NA NA
1469916000.0 10024.4 NA 100 210 0 NA NA NA NA 175 308 0 NA NA NA NA 682 1190 684 NA NA NA NA 797 1305 722 NA NA NA
1469916000.0 10024.5 NA 100 129 0 NA NA NA NA 175 206 0 NA NA NA NA 657 592 353 NA NA NA NA 729 649 360 NA NA NA
1469916000.0 10025.0 NA 100 212 0 NA NA NA NA 175 310 0 NA NA NA NA 652 1115 690 NA NA NA NA 723 1496 730 NA NA NA
1469916000.0 1004.0 NA 172 129 0 0 0 0 NA 237 177 0 0 0 0 NA 768 272 7 76 588 586 NA 807 312 12 81 610 604
1469916000.0 101.0 77 NA NA NA NA NA NA 137 NA NA NA NA NA NA 1317 NA NA NA NA NA NA 1359 NA NA NA NA NA NA
1469916000.0 102.0 78 NA NA NA NA NA NA 137 NA NA NA NA NA NA 894 NA NA NA NA NA NA 920 NA NA NA NA NA NA
1469916000.0 10224.0 NA 136 281 0 NA NA NA NA 204 384 0 NA NA NA NA 2872 3644 478 NA NA NA NA 6982 7703 503 NA NA NA
1469916000.0 10225.0 NA 135 290 0 NA NA NA NA 206 392 0 NA NA NA NA 2747 3210 312 NA NA NA NA 10603 10744 318 NA NA NA
1469916000.0 103.0 33 0 0 NA NA NA NA 74 0 0 NA NA NA NA 378 106 162 NA NA NA NA 475 145 240 NA NA NA NA
1469916000.0 105.0 47 69 23 NA NA NA NA 93 151 56 NA NA NA NA 3827 373 2 NA NA NA NA 3897 381 5 NA NA NA NA
1469916000.0 106.0 33 0 0 NA NA NA NA 74 0 0 NA NA NA NA 378 105 182 NA NA NA NA 415 172 222 NA NA NA NA
1469916000.0 10621.0 71 76 144 0 NA NA NA 113 125 191 0 NA NA NA 1962 1083 644 233 NA NA NA 2020 1162 688 243 NA NA NA
1469916000.0 10624.0 84 88 157 0 NA NA NA 129 119 193 0 NA NA NA 6502 604 521 314 NA NA NA 6679 663 571 324 NA NA NA
1469916000.0 10626.0 85 86 156 0 NA NA NA 130 125 194 0 NA NA NA 15562 1309 1241 610 NA NA NA 16255 2341 1460 684 NA NA NA
1469916000.0 107.0 48 67 187 NA NA NA NA 94 141 248 NA NA NA NA 6310 610 542 NA NA NA NA 6579 673 580 NA NA NA NA
1469916000.0 108.0 50 72 185 NA NA NA NA 96 141 248 NA NA NA NA 9253 744 1027 NA NA NA NA 9531 773 1065 NA NA NA NA
1469916000.0 10821.0 82 NA NA NA NA NA NA 125 NA NA NA NA NA NA 4152 NA NA NA NA NA NA 4238 NA NA NA NA NA NA
1469916000.0 10824.0 97 NA NA NA NA NA NA 142 NA NA NA NA NA NA 18756 NA NA NA NA NA NA 19075 NA NA NA NA NA NA
1469916000.0 10825.0 92 NA NA NA NA NA NA 141 NA NA NA NA NA NA 10904 NA NA NA NA NA NA 11708 NA NA NA NA NA NA
1469916000.0 10826.0 98 NA NA NA NA NA NA 147 NA NA NA NA NA NA 20681 NA NA NA NA NA NA 22909 NA NA NA NA NA NA
1469916000.0 109.0 51 72 188 NA NA NA NA 96 141 250 NA NA NA NA 9197 738 1019 NA NA NA NA 9466 761 1072 NA NA NA NA
1469916000.0 110.0 41 73 181 NA NA NA NA 85 141 249 NA NA NA NA 509 290 457 NA NA NA NA 731 364 543 NA NA NA NA
1469916000.0 1102.0 NA 81 191 96 59 NA NA NA 151 253 151 109 NA NA NA 3437 4121 2343 179 NA NA NA 3507 4265 2422 194 NA NA
1469916000.0 11024.0 94 200 81 NA NA NA NA 142 252 123 NA NA NA NA 19111 4410 1697 NA NA NA NA 19513 4570 1784 NA NA NA NA
1469916000.0 11025.0 95 204 79 NA NA NA NA 141 252 122 NA NA NA NA 15204 4332 1738 NA NA NA NA 15530 4523 1871 NA NA NA NA
1469916000.0 11026.0 100 205 82 NA NA NA NA 147 255 125 NA NA NA NA 31246 4448 1695 NA NA NA NA 31685 4606 1797 NA NA NA NA
1469916000.0 112.0 46 71 184 NA NA NA NA 93 141 248 NA NA NA NA 8665 565 637 NA NA NA NA 8853 595 692 NA NA NA NA
1469916000.0 11221.0 76 75 143 0 NA NA NA 118 125 191 0 NA NA NA 2087 1076 717 237 NA NA NA 2154 1152 761 246 NA NA NA
1469916000.0 117.0 51 79 187 NA NA NA NA 96 141 248 NA NA NA NA 10030 725 965 NA NA NA NA 10361 755 1014 NA NA NA NA
1469916000.0 118.0 49 72 189 NA NA NA NA 96 141 248 NA NA NA NA 9416 767 951 NA NA NA NA 9839 877 983 NA NA NA NA
1469916000.0 119.0 48 69 184 NA NA NA NA 93 141 248 NA NA NA NA 7205 609 638 NA NA NA NA 7420 660 748 NA NA NA NA
1469916000.0 120.0 40 67 178 NA NA NA NA 84 141 249 NA NA NA NA 500 374 413 NA NA NA NA 546 487 469 NA NA NA NA
1469916000.0 121.0 50 78 189 NA NA NA NA 97 141 249 NA NA NA NA 7186 458 701 NA NA NA NA 7354 509 785 NA NA NA NA
1469916000.0 122.0 43 67 178 NA NA NA NA 92 141 249 NA NA NA NA 874 237 366 NA NA NA NA 908 276 763 NA NA NA NA
1469916000.0 123.1 172 NA NA NA NA NA NA 238 NA NA NA NA NA NA 793 NA NA NA NA NA NA 897 NA NA NA NA NA NA
