Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470214800.0 1000.0 NA 214 116 0 43 NA 267 176 0 77 NA 2028 438 535 127 NA 2300 531 547 163
1470214800.0 10225.0 NA 139 282 0 NA NA 207 387 0 NA NA 1998 2587 342 NA NA 10693 21209 453 NA
1470214800.0 10626.0 84 86 151 0 NA 130 125 195 0 NA 15118 1202 1160 549 NA 15588 1306 1230 580 NA
1470214800.0 108.0 52 79 185 NA NA 96 141 248 NA NA 8948 669 903 NA NA 9188 693 963 NA NA
1470214800.0 10825.0 94 NA NA NA NA 141 NA NA NA NA 10425 NA NA NA NA 11671 NA NA NA NA
1470214800.0 10826.0 100 NA NA NA NA 146 NA NA NA NA 12178 NA NA NA NA 14977 NA NA NA NA
1470214800.0 109.0 50 73 188 NA NA 96 141 249 NA NA 6596 390 588 NA NA 7479 423 618 NA NA
1470214800.0 1102.0 NA 81 200 106 59 NA 150 253 151 109 NA 2413 2742 1568 130 NA 2515 2787 1625 141
1470214800.0 11025.0 95 206 80 NA NA 141 253 122 NA NA 16260 5874 2585 NA NA 16879 6078 2698 NA NA
1470214800.0 11026.0 96 208 83 NA NA 147 255 125 NA NA 24733 3089 1201 NA NA 40774 3192 1321 NA NA
1470214800.0 112.0 49 70 184 NA NA 93 141 248 NA NA 6114 371 446 NA NA 6391 393 505 NA NA
1470214800.0 11226.0 89 80 150 0 NA 135 125 195 0 NA 14743 1262 1196 539 NA 15022 1403 1317 553 NA
1470214800.0 116.0 49 73 186 NA NA 96 141 249 NA NA 8198 656 860 NA NA 8420 734 916 NA NA
1470214800.0 117.0 50 78 188 NA NA 96 141 248 NA NA 9379 690 842 NA NA 9672 711 882 NA NA
1470214800.0 118.0 51 71 192 NA NA 97 141 249 NA NA 8852 765 868 NA NA 9111 834 907 NA NA
1470214800.0 119.0 48 72 185 NA NA 93 141 248 NA NA 5263 382 440 NA NA 5444 408 534 NA NA
1470214800.0 121.0 51 72 187 NA NA 97 141 249 NA NA 7062 410 645 NA NA 7523 527 695 NA NA
1470214800.0 1302.0 57 138 161 NA NA 104 197 222 NA NA 10234 1044 982 NA NA 10753 1164 1635 NA NA
1470214800.0 1303.0 60 139 151 NA NA 105 197 223 NA NA 11044 544 1100 NA NA 12237 941 1456 NA NA
1470214800.0 1306.0 NA 144 222 0 NA NA 211 309 0 NA NA 546 809 1599 NA NA 648 917 3149 NA
1470214800.0 1311.0 NA 153 218 0 58 NA 213 284 0 97 NA 552 747 1701 87 NA 657 1143 1756 325
1470214800.0 1312.0 NA 164 228 0 NA NA 222 310 0 NA NA 640 1051 1507 NA NA 742 1162 3558 NA
1470214800.0 1323.0 NA 153 227 0 NA NA 212 309 0 NA NA 524 817 1621 NA NA 671 1028 1667 NA
1470214800.0 1324.0 NA 159 237 0 NA NA 226 310 0 NA NA 690 1083 1606 NA NA 1269 1184 1681 NA
1470214800.0 1327.0 NA 152 228 0 NA NA 217 310 0 NA NA 588 927 1574 NA NA 673 1027 2999 NA
1470214800.0 1332.0 NA 156 236 0 NA NA 216 310 0 NA NA 565 910 1637 NA NA 662 1025 1657 NA
1470214800.0 1333.0 NA 166 231 0 NA NA 219 310 0 NA NA 606 879 1557 NA NA 859 1011 1579 NA
1470214800.0 134.702 NA 43 214 0 NA NA 82 273 0 NA NA 252 9424 791 NA NA 312 10051 840 NA
1470214800.0 134.703 NA 35 224 0 NA NA 86 284 0 NA NA 156 5729 593 NA NA 260 6114 610 NA
1470214800.0 134.704 NA 32 218 0 NA NA 82 274 0 NA NA 156 5443 598 NA NA 192 5969 633 NA
1470214800.0 134.705 NA 43 223 0 NA NA 87 281 0 NA NA 162 5988 621 NA NA 306 6694 660 NA
1470214800.0 134.706 NA 37 220 0 NA NA 85 281 0 NA NA 268 10005 846 NA NA 303 11193 867 NA
1470214800.0 134.707 NA 38 212 0 NA NA 85 273 0 NA NA 267 8614 736 NA NA 293 8800 756 NA
1470214800.0 134.708 NA 39 216 0 NA NA 83 273 0 NA NA 245 8632 875 NA NA 338 8847 908 NA
1470214800.0 134.709 NA 39 226 0 NA NA 85 291 0 NA NA 148 5687 637 NA NA 172 6359 688 NA
1470214800.0 134.805 NA 42 236 0 NA NA 88 287 0 NA NA 183 7364 555 NA NA 265 8086 573 NA
1470214800.0 134.807 NA 80 233 0 NA NA 141 294 0 NA NA 1074 12818 953 NA NA 1255 13906 982 NA
1470214800.0 134.809 NA 40 229 0 NA NA 83 275 0 NA NA 356 10903 733 NA NA 412 11849 764 NA
1470214800.0 134.81 NA 39 224 0 NA NA 85 275 0 NA NA 184 6889 593 NA NA 295 7623 620 NA
1470214800.0 134.812 NA 34 216 0 NA NA 82 273 0 NA NA 245 6539 741 NA NA 284 6650 760 NA
1470214800.0 134.902 NA 34 213 0 NA NA 87 273 0 NA NA 318 8428 761 NA NA 428 8751 791 NA
1470214800.0 134.903 NA 36 209 0 NA NA 87 273 0 NA NA 274 7744 814 NA NA 299 8092 840 NA
1470214800.0 134.904 NA 34 216 0 NA NA 85 275 0 NA NA 179 5904 607 NA NA 205 6304 633 NA
1470214800.0 134.907 NA 80 224 0 NA NA 141 286 0 NA NA 469 5203 585 NA NA 518 5941 607 NA
1470214800.0 134.908 NA 75 233 0 NA NA 143 289 0 NA NA 829 8270 916 NA NA 990 8852 948 NA
1470214800.0 134.911 NA 34 213 0 NA NA 84 273 0 NA NA 277 8212 788 NA NA 329 8669 812 NA
1470214800.0 134.99601 NA 41 218 0 NA NA 85 276 0 NA NA 363 14038 856 NA NA 398 15082 888 NA
1470214800.0 134.99602 NA 38 214 0 NA NA 86 273 0 NA NA 288 7501 850 NA NA 320 7850 887 NA
1470214800.0 134.99603 NA 43 219 0 NA NA 85 274 0 NA NA 325 10787 783 NA NA 412 11406 802 NA
