Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1468400400.0 118.0 57 79 197 NA NA NA NA 169 235 397 NA NA NA NA 11734 964 1079 NA NA NA NA 12063 1123 1215 NA NA NA NA
1468400400.0 119.0 53 77 201 NA NA NA NA 166 235 397 NA NA NA NA 6885 672 842 NA NA NA NA 7083 714 967 NA NA NA NA
1468400400.0 12.0 NA 84 200 0 NA NA NA NA 238 399 0 NA NA NA NA 3965 4120 1268 NA NA NA NA 4052 4474 1294 NA NA NA
1468400400.0 120.0 47 75 188 NA NA NA NA 156 235 397 NA NA NA NA 899 589 715 NA NA NA NA 986 717 767 NA NA NA NA
1468400400.0 121.0 56 81 199 NA NA NA NA 169 235 398 NA NA NA NA 11974 752 1255 NA NA NA NA 12932 775 1392 NA NA NA NA
1468400400.0 122.0 49 81 191 NA NA NA NA 164 235 397 NA NA NA NA 1316 334 620 NA NA NA NA 1361 354 676 NA NA NA NA
1468400400.0 123.1 178 NA NA NA NA NA NA 380 NA NA NA NA NA NA 1029 NA NA NA NA NA NA 1171 NA NA NA NA NA NA
1468400400.0 123.2 181 NA NA NA NA NA NA 383 NA NA NA NA NA NA 1253 NA NA NA NA NA NA 1337 NA NA NA NA NA NA
1468400400.0 123.3 165 NA NA NA NA NA NA 365 NA NA NA NA NA NA 694 NA NA NA NA NA NA 739 NA NA NA NA NA NA
1468400400.0 124.1 174 NA NA NA NA NA NA 374 NA NA NA NA NA NA 698 NA NA NA NA NA NA 741 NA NA NA NA NA NA
1468400400.0 124.2 179 NA NA NA NA NA NA 380 NA NA NA NA NA NA 962 NA NA NA NA NA NA 1057 NA NA NA NA NA NA
1468400400.0 124.4 174 NA NA NA NA NA NA 374 NA NA NA NA NA NA 711 NA NA NA NA NA NA 814 NA NA NA NA NA NA
1468400400.0 124.5 174 NA NA NA NA NA NA 374 NA NA NA NA NA NA 724 NA NA NA NA NA NA 826 NA NA NA NA NA NA
1468400400.0 125.0 56 85 192 NA NA NA NA 167 235 397 NA NA NA NA 7588 864 789 NA NA NA NA 8000 897 839 NA NA NA NA
1468400400.0 126.0 46 75 187 NA NA NA NA 158 235 397 NA NA NA NA 2704 715 843 NA NA NA NA 2805 761 2647 NA NA NA NA
1468400400.0 127.0 45 79 191 NA NA NA NA 157 235 397 NA NA NA NA 2402 742 764 NA NA NA NA 2637 929 817 NA NA NA NA
1468400400.0 128.0 45 78 190 NA NA NA NA 151 235 397 NA NA NA NA 811 610 703 NA NA NA NA 864 666 794 NA NA NA NA
1468400400.0 129.0 44 78 191 NA NA NA NA 152 235 397 NA NA NA NA 847 558 638 NA NA NA NA 876 577 657 NA NA NA NA
1468400400.0 13.0 NA 76 192 0 NA NA NA NA 238 397 0 NA NA NA NA 463 1516 826 NA NA NA NA 547 1572 951 NA NA NA
1468400400.0 130.0 47 74 190 NA NA NA NA 157 235 397 NA NA NA NA 1085 620 732 NA NA NA NA 1145 661 827 NA NA NA NA
1468400400.0 1301.0 60 144 178 NA NA NA NA 172 324 352 NA NA NA NA 2106 1028 1919 NA NA NA NA 2284 1173 2210 NA NA NA NA
1468400400.0 1302.0 65 145 181 NA NA NA NA 177 324 354 NA NA NA NA 11866 1004 1893 NA NA NA NA 12300 1212 2032 NA NA NA NA
1468400400.0 1303.0 66 145 181 NA NA NA NA 178 324 361 NA NA NA NA 17619 872 2362 NA NA NA NA 18984 1431 2899 NA NA NA NA
1468400400.0 1306.0 NA 159 248 0 NA NA NA NA 336 465 0 NA NA NA NA 1079 1866 2417 NA NA NA NA 1668 2070 2493 NA NA NA
1468400400.0 1307.0 NA 146 137 49 0 NA NA NA 329 315 150 0 NA NA NA 843 875 74 888 NA NA NA 1541 1013 93 961 NA NA
1468400400.0 1308.0 NA 136 135 47 0 NA NA NA 329 316 147 0 NA NA NA 771 694 46 726 NA NA NA 1298 772 64 740 NA NA
1468400400.0 131.0 46 77 192 NA NA NA NA 154 235 397 NA NA NA NA 3324 717 810 NA NA NA NA 3489 2355 1139 NA NA NA NA
1468400400.0 1310.0 NA 165 254 0 NA NA NA NA 346 466 0 NA NA NA NA 1051 2338 2376 NA NA NA NA 2133 2607 2441 NA NA NA
1468400400.0 1311.0 NA 162 224 0 60 NA NA NA 337 437 0 172 NA NA NA 965 1490 2404 159 NA NA NA 1111 3513 2483 1667 NA NA
1468400400.0 1312.0 NA 164 245 0 NA NA NA NA 344 466 0 NA NA NA NA 1177 2363 2192 NA NA NA NA 1316 2519 3123 NA NA NA
1468400400.0 1313.0 NA 162 256 0 NA NA NA NA 344 465 0 NA NA NA NA 1004 2521 2338 NA NA NA NA 1184 3689 2363 NA NA NA
1468400400.0 1316.0 NA 168 249 0 NA NA NA NA 339 465 0 NA NA NA NA 928 1782 2425 NA NA NA NA 1024 1928 2451 NA NA NA
1468400400.0 1318.0 NA 159 249 0 NA NA NA NA 337 465 0 NA NA NA NA 877 1965 2183 NA NA NA NA 1064 2219 2325 NA NA NA
1468400400.0 1319.0 NA 147 252 0 NA NA NA NA 337 465 0 NA NA NA NA 1093 1844 2281 NA NA NA NA 1640 2064 2305 NA NA NA
1468400400.0 132.0 51 82 194 NA NA NA NA 164 235 397 NA NA NA NA 6192 771 861 NA NA NA NA 6504 848 1098 NA NA NA NA
1468400400.0 1322.0 NA 161 245 0 NA NA NA NA 338 465 0 NA NA NA NA 973 1843 2162 NA NA NA NA 1085 9767 2185 NA NA NA
1468400400.0 1323.0 NA 159 245 0 NA NA NA NA 339 465 0 NA NA NA NA 872 1574 2363 NA NA NA NA 1924 1817 2439 NA NA NA
1468400400.0 1324.0 NA 161 267 0 NA NA NA NA 346 466 0 NA NA NA NA 1395 1831 2121 NA NA NA NA 1554 1948 2142 NA NA NA
1468400400.0 1325.0 NA 165 239 0 67 NA NA NA 347 466 0 180 NA NA NA 1286 2269 2539 284 NA NA NA 1451 11422 9566 1041 NA NA
1468400400.0 1325.1 NA 164 141 0 NA NA NA NA 347 296 0 NA NA NA NA 1091 781 444 NA NA NA NA 1253 1729 468 NA NA NA
1468400400.0 1325.2 NA 165 236 0 NA NA NA NA 347 465 0 NA NA NA NA 1261 2331 2509 NA NA NA NA 1901 11367 9566 NA NA NA
1468400400.0 1325.3 NA 164 138 0 NA NA NA NA 347 292 0 NA NA NA NA 1108 602 433 NA NA NA NA 1257 736 474 NA NA NA
1468400400.0 1326.0 NA 159 255 0 NA NA NA NA 342 465 0 NA NA NA NA 1011 1653 2051 NA NA NA NA 1126 1775 2074 NA NA NA
1468400400.0 1327.0 NA 170 248 0 NA NA NA NA 347 466 0 NA NA NA NA 1267 2275 2346 NA NA NA NA 1406 2434 3356 NA NA NA
1468400400.0 1328.0 NA 164 252 0 NA NA NA NA 346 466 0 NA NA NA NA 1168 2052 2291 NA NA NA NA 1299 2222 2326 NA NA NA
1468400400.0 1329.0 NA 167 248 0 NA NA NA NA 347 466 0 NA NA NA NA 1107 2201 2274 NA NA NA NA 1892 2464 2315 NA NA NA
1468400400.0 1330.0 NA 168 253 0 NA NA NA NA 344 466 0 NA NA NA NA 990 1942 2433 NA NA NA NA 1140 2128 2457 NA NA NA
