Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1469998800.0 1.0 46 62 121 NA NA 161 220 277 NA NA 4151 487 415 NA NA 4232 523 454 NA NA
1469998800.0 10.0 NA 82 193 0 NA NA 239 397 0 NA NA 2660 2417 663 NA NA 2751 2572 699 NA
1469998800.0 1000.0 NA 206 120 0 39 NA 404 267 0 139 NA 1831 426 386 92 NA 1922 497 392 143
1469998800.0 1002.0 NA 204 57 NA NA NA 410 140 NA NA NA 2853 210 NA NA NA 3056 222 NA NA
1469998800.0 10024.2 NA 102 216 0 NA NA 263 454 0 NA NA 695 1342 616 NA NA 785 1506 634 NA
1469998800.0 10025.0 NA 102 221 0 NA NA 263 455 0 NA NA 641 1080 694 NA NA 699 1252 744 NA
1469998800.0 1003.0 NA 173 0 NA NA NA 362 0 NA NA NA 4354 482 NA NA NA 4531 506 NA NA
1469998800.0 101.0 77 NA NA NA NA 232 NA NA NA NA 1234 NA NA NA NA 1286 NA NA NA NA
1469998800.0 102.0 78 NA NA NA NA 232 NA NA NA NA 789 NA NA NA NA 839 NA NA NA NA
1469998800.0 10224.0 NA 136 286 0 NA NA 290 529 0 NA NA 2439 3330 435 NA NA 6441 7981 449 NA
1469998800.0 10225.0 NA 139 297 0 NA NA 297 530 0 NA NA 2509 3296 409 NA NA 10255 11011 465 NA
1469998800.0 103.0 33 0 0 NA NA 142 0 0 NA NA 369 97 159 NA NA 386 126 196 NA NA
1469998800.0 106.0 33 0 0 NA NA 142 0 0 NA NA 359 88 160 NA NA 378 136 235 NA NA
1469998800.0 10626.0 85 88 0 NA NA 201 214 0 NA NA 8309 598 0 NA NA 8470 638 0 NA NA
1469998800.0 107.0 48 70 184 NA NA 163 228 394 NA NA 6912 613 747 NA NA 7108 660 796 NA NA
1469998800.0 108.0 50 73 189 NA NA 166 229 394 NA NA 7977 446 651 NA NA 8253 471 695 NA NA
1469998800.0 10824.0 95 NA NA NA NA 213 NA NA NA NA 19254 NA NA NA NA 22405 NA NA NA NA
1469998800.0 10825.0 95 NA NA NA NA 212 NA NA NA NA 15203 NA NA NA NA 15377 NA NA NA NA
1469998800.0 10826.0 97 NA NA NA NA 219 NA NA NA NA 21092 NA NA NA NA 24672 NA NA NA NA
1469998800.0 109.0 50 70 190 NA NA 166 228 394 NA NA 9866 653 823 NA NA 10009 707 870 NA NA
1469998800.0 11.0 NA 79 199 0 49 NA 238 406 0 159 NA 2688 818 543 40 NA 2736 838 551 45
1469998800.0 1102.0 NA 82 195 102 62 NA 239 400 252 157 NA 3030 4168 2406 197 NA 3082 4246 2473 215
1469998800.0 11024.0 94 204 0 NA NA 213 344 0 NA NA 19229 4429 0 NA NA 22368 4546 0 NA NA
1469998800.0 11025.0 94 205 0 NA NA 212 345 0 NA NA 15971 4242 0 NA NA 16283 4400 0 NA NA
1469998800.0 11026.0 97 206 0 NA NA 219 345 0 NA NA 31581 4211 0 NA NA 34538 4332 0 NA NA
1469998800.0 111.0 47 79 188 NA NA 163 228 394 NA NA 4137 410 691 NA NA 4205 446 752 NA NA
1469998800.0 112.0 49 71 191 NA NA 163 228 394 NA NA 5216 325 302 NA NA 5316 334 314 NA NA
1469998800.0 11221.0 77 76 0 NA NA 188 214 0 NA NA 1393 723 0 NA NA 1508 814 0 NA NA
1469998800.0 11226.0 90 78 0 NA NA 205 214 0 NA NA 12287 946 0 NA NA 13282 1063 0 NA NA
1469998800.0 113.0 49 72 187 NA NA 165 229 394 NA NA 6628 449 505 NA NA 6815 500 541 NA NA
1469998800.0 114.0 50 73 187 NA NA 165 229 394 NA NA 6645 478 522 NA NA 6873 534 557 NA NA
1469998800.0 115.0 50 72 189 NA NA 165 229 394 NA NA 6769 485 561 NA NA 6975 538 592 NA NA
1469998800.0 116.0 49 72 189 NA NA 165 229 394 NA NA 6841 450 551 NA NA 7057 481 584 NA NA
1469998800.0 117.0 49 71 191 NA NA 165 229 396 NA NA 10470 601 889 NA NA 10565 625 959 NA NA
1469998800.0 118.0 50 72 190 NA NA 166 229 394 NA NA 11799 574 844 NA NA 12014 596 1040 NA NA
1469998800.0 119.0 47 69 188 NA NA 162 228 394 NA NA 6264 555 628 NA NA 6360 593 691 NA NA
1469998800.0 12.0 NA 80 192 0 NA NA 238 396 0 NA NA 2183 1828 436 NA NA 2274 1896 443 NA
1469998800.0 120.0 40 67 185 NA NA 153 228 394 NA NA 442 312 349 NA NA 474 362 397 NA NA
