Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470258000.0 1.0 47 64 119 NA NA 162 220 277 NA NA 2405 266 277 NA NA 2705 308 322 NA NA
1470258000.0 1002.0 NA 199 58 NA NA NA 410 140 NA NA NA 2137 160 NA NA NA 2522 180 NA NA
1470258000.0 10021.0 NA 99 218 0 NA NA 263 455 0 NA NA 352 646 303 NA NA 644 778 317 NA
1470258000.0 10024.1 NA 101 140 0 NA NA 264 319 0 NA NA 442 418 295 NA NA 535 498 321 NA
1470258000.0 10024.3 NA 102 134 0 NA NA 264 314 0 NA NA 404 324 199 NA NA 496 543 207 NA
1470258000.0 10024.5 NA 101 132 0 NA NA 264 313 0 NA NA 457 392 271 NA NA 752 507 285 NA
1470258000.0 1003.0 NA 173 0 NA NA NA 363 0 NA NA NA 3108 384 NA NA NA 3370 414 NA NA
1470258000.0 101.0 77 NA NA NA NA 232 NA NA NA NA 1259 NA NA NA NA 1302 NA NA NA NA
1470258000.0 102.0 79 NA NA NA NA 232 NA NA NA NA 752 NA NA NA NA 822 NA NA NA NA
1470258000.0 10224.0 NA 136 0 NA NA NA 292 0 NA NA NA 2697 0 NA NA NA 7046 0 NA NA
1470258000.0 10225.0 NA 138 300 0 NA NA 294 530 0 NA NA 2544 3275 327 NA NA 10737 11239 338 NA
1470258000.0 103.0 33 0 0 NA NA 142 0 0 NA NA 355 80 158 NA NA 369 130 186 NA NA
1470258000.0 105.0 47 70 26 NA NA 162 228 123 NA NA 2250 271 1 NA NA 2452 283 6 NA NA
1470258000.0 106.0 33 0 0 NA NA 142 0 0 NA NA 355 81 155 NA NA 367 133 185 NA NA
1470258000.0 10621.0 72 76 0 NA NA 184 214 0 NA NA 1216 621 0 NA NA 1749 664 0 NA NA
1470258000.0 10626.0 82 78 0 NA NA 200 214 0 NA NA 17284 936 0 NA NA 17553 990 0 NA NA
1470258000.0 10821.0 82 NA NA NA NA 196 NA NA NA NA 2461 NA NA NA NA 2552 NA NA NA NA
1470258000.0 10824.0 96 NA NA NA NA 213 NA NA NA NA 20590 NA NA NA NA 20908 NA NA NA NA
1470258000.0 10826.0 100 NA NA NA NA 219 NA NA NA NA 21011 NA NA NA NA 21963 NA NA NA NA
1470258000.0 110.0 41 79 184 NA NA 154 228 394 NA NA 584 344 368 NA NA 658 369 404 NA NA
1470258000.0 11024.0 94 205 0 NA NA 213 344 0 NA NA 14409 2852 0 NA NA 14876 3007 0 NA NA
1470258000.0 11025.0 93 203 0 NA NA 212 345 0 NA NA 10747 3328 0 NA NA 11089 3468 0 NA NA
1470258000.0 11026.0 99 206 0 NA NA 219 345 0 NA NA 21062 2445 0 NA NA 22027 2877 0 NA NA
1470258000.0 111.0 47 71 190 NA NA 163 228 394 NA NA 3048 318 447 NA NA 3309 346 488 NA NA
1470258000.0 11221.0 77 76 0 NA NA 188 214 0 NA NA 1259 627 0 NA NA 1795 684 0 NA NA
1470258000.0 11226.0 87 78 0 NA NA 205 214 0 NA NA 17134 940 0 NA NA 17361 993 0 NA NA
1470258000.0 120.0 43 72 184 NA NA 153 228 394 NA NA 448 334 380 NA NA 497 392 560 NA NA
1470258000.0 122.0 42 70 185 NA NA 159 228 394 NA NA 833 179 332 NA NA 870 217 408 NA NA
1470258000.0 123.1 174 NA NA NA NA 380 NA NA NA NA 667 NA NA NA NA 721 NA NA NA NA
1470258000.0 123.2 178 NA NA NA NA 383 NA NA NA NA 686 NA NA NA NA 738 NA NA NA NA
1470258000.0 123.3 162 NA NA NA NA 366 NA NA NA NA 417 NA NA NA NA 465 NA NA NA NA
1470258000.0 124.1 172 NA NA NA NA 375 NA NA NA NA 373 NA NA NA NA 439 NA NA NA NA
1470258000.0 124.2 175 NA NA NA NA 381 NA NA NA NA 628 NA NA NA NA 677 NA NA NA NA
1470258000.0 124.4 173 NA NA NA NA 375 NA NA NA NA 386 NA NA NA NA 554 NA NA NA NA
1470258000.0 124.5 172 NA NA NA NA 375 NA NA NA NA 397 NA NA NA NA 456 NA NA NA NA
1470258000.0 124.6 165 NA NA NA NA 366 NA NA NA NA 378 NA NA NA NA 537 NA NA NA NA
1470258000.0 126.0 41 67 186 NA NA 155 228 394 NA NA 1070 336 330 NA NA 1262 367 545 NA NA
1470258000.0 127.0 40 67 186 NA NA 154 228 394 NA NA 1054 307 334 NA NA 1085 332 360 NA NA
1470258000.0 128.0 47 78 186 NA NA 148 228 394 NA NA 413 352 382 NA NA 442 388 402 NA NA
1470258000.0 129.0 48 68 191 NA NA 149 228 394 NA NA 451 388 378 NA NA 487 430 426 NA NA
1470258000.0 13.0 NA 74 189 0 NA NA 238 394 0 NA NA 234 649 360 NA NA 286 703 371 NA
1470258000.0 130.0 41 68 185 NA NA 154 228 394 NA NA 548 331 378 NA NA 572 357 450 NA NA
1470258000.0 1302.0 58 139 158 NA NA 173 320 346 NA NA 12814 935 879 NA NA 13037 1026 996 NA NA
1470258000.0 1303.0 59 140 154 NA NA 174 320 347 NA NA 10429 570 849 NA NA 11032 627 1160 NA NA
1470258000.0 1307.0 NA 130 128 45 0 NA 328 310 148 0 NA 562 492 86 558 NA 621 683 113 588
1470258000.0 131.0 41 69 186 NA NA 155 228 394 NA NA 1250 284 335 NA NA 1571 343 491 NA NA
1470258000.0 1325.1 NA 165 133 0 NA NA 350 291 0 NA NA 578 359 234 NA NA 696 483 351 NA
1470258000.0 1335.0 NA 164 239 0 NA NA 344 460 0 NA NA 643 1100 1780 NA NA 726 1173 1794 NA
1470258000.0 134.805 NA 36 233 0 NA NA 156 426 0 NA NA 248 10973 886 NA NA 388 11216 944 NA
1470258000.0 134.807 NA 78 245 0 NA NA 212 432 0 NA NA 861 11036 817 NA NA 977 11242 832 NA
1470258000.0 134.813 NA 115 52 0 NA NA 307 163 0 NA NA 637 81 232 NA NA 772 95 250 NA
1470258000.0 1340.0 NA 168 238 0 NA NA 339 459 0 NA NA 571 1003 2129 NA NA 628 1046 2143 NA
1470258000.0 135.13 190 0 NA NA NA 379 0 NA NA NA 833 230 NA NA NA 1469 249 NA NA NA
1470258000.0 135.8 80 NA NA NA NA 219 NA NA NA NA 289 NA NA NA NA 672 NA NA NA NA
1470258000.0 1356.0 57 157 250 0 97 172 332 461 0 248 7453 721 1094 1521 267 8187 791 1194 1611 339
1470258000.0 136.721 NA 156 241 0 NA NA 334 434 0 NA NA 3638 8412 808 NA NA 4521 8913 832 NA
1470258000.0 136.722 NA 156 255 0 NA NA 341 457 0 NA NA 4405 9140 750 NA NA 5293 9535 816 NA
1470258000.0 136.723 NA 154 241 0 NA NA 338 433 0 NA NA 4105 9061 757 NA NA 4970 9424 868 NA
1470258000.0 136.724 NA 159 245 0 NA NA 341 439 0 NA NA 4816 10235 766 NA NA 5737 10989 794 NA
1470258000.0 136.725 NA 157 240 0 NA NA 338 435 0 NA NA 4113 9032 698 NA NA 5051 9361 831 NA
1470258000.0 136.726 NA 158 244 0 NA NA 337 438 0 NA NA 4541 9342 723 NA NA 5424 9805 780 NA
1470258000.0 136.727 NA 183 257 0 NA NA 389 447 0 NA NA 3838 7704 878 NA NA 4160 8927 933 NA
1470258000.0 136.728 NA 184 249 0 NA NA 381 444 0 NA NA 4158 8468 874 NA NA 4577 9347 893 NA
1470258000.0 136.729 NA 153 242 0 NA NA 332 435 0 NA NA 3937 9189 697 NA NA 4773 9524 841 NA
1470258000.0 136.73 NA 160 259 0 NA NA 336 464 0 NA NA 3755 8129 878 NA NA 4103 9421 898 NA
1470258000.0 136.731 NA 158 245 0 NA NA 335 437 0 NA NA 4420 9408 698 NA NA 5419 9837 752 NA
1470258000.0 136.732 NA 155 231 0 NA NA 335 427 0 NA NA 3250 9073 1287 NA NA 3392 9267 1318 NA
1470258000.0 136.7321 NA 156 256 0 NA NA 338 454 0 NA NA 3296 9524 1047 NA NA 3452 9862 1055 NA
1470258000.0 136.733 NA 122 59 0 NA NA 316 171 0 NA NA 732 141 221 NA NA 1300 224 244 NA
1470258000.0 136.734 NA 157 243 0 NA NA 337 438 0 NA NA 4238 9187 734 NA NA 5127 9513 812 NA
1470258000.0 1361.0 56 161 230 0 NA 224 330 459 0 NA 6134 638 1079 1419 NA 9134 695 1185 1517 NA
1470258000.0 1362.0 58 156 230 0 NA 224 331 459 0 NA 6066 702 934 1405 NA 10252 776 1391 1431 NA
1470258000.0 1363.0 58 153 241 0 NA 224 332 459 0 NA 8816 661 911 1099 NA 12986 883 985 1219 NA
1470258000.0 13992501.0 NA 201 312 0 NA NA 394 556 0 NA NA 3257 4669 1594 NA NA 3835 7176 1769 NA
1470258000.0 13992502.0 NA 201 310 0 NA NA 396 551 0 NA NA 3200 4068 1604 NA NA 5545 6328 1638 NA
1470258000.0 140.1 NA 136 187 0 NA NA 310 378 0 NA NA 222 315 200 NA NA 303 425 212 NA
1470258000.0 140.2 NA 132 188 0 NA NA 310 378 0 NA NA 300 427 246 NA NA 888 523 271 NA
1470258000.0 140.4 NA 139 190 0 NA NA 311 378 0 NA NA 279 378 234 NA NA 383 455 250 NA
1470258000.0 144.6 NA 221 NA NA NA NA 407 NA NA NA NA 1155 NA NA NA NA 1197 NA NA NA
1470258000.0 15.0 NA 75 189 0 NA NA 238 395 0 NA NA 2117 901 443 NA NA 2194 1003 490 NA
1470258000.0 17.0 NA 78 191 0 NA NA 239 395 0 NA NA 1865 975 570 NA NA 2179 1095 595 NA
1470258000.0 19.0 NA 77 190 0 NA NA 238 395 0 NA NA 2002 838 546 NA NA 2049 890 562 NA
1470258000.0 200.0 NA 89 207 0 NA NA 243 420 0 NA NA 627 1122 598 NA NA 1061 1589 635 NA
1470258000.0 202.0 NA 88 212 0 NA NA 239 425 0 NA NA 742 1288 619 NA NA 1095 1596 656 NA
1470258000.0 203.0 NA 91 213 0 NA NA 239 429 0 NA NA 755 1197 520 NA NA 1128 1722 548 NA
1470258000.0 204.0 49 0 NA NA NA 165 0 NA NA NA 11380 0 NA NA NA 11491 0 NA NA NA
1470258000.0 205.0 NA 81 200 0 NA NA 239 411 0 NA NA 759 588 389 NA NA 1083 814 397 NA
1470258000.0 250200.0 NA 219 279 0 NA NA 446 501 0 NA NA 12369 3138 1379 NA NA 13903 3268 1417 NA
1470258000.0 250200.1 57 185 171 NA NA 172 384 360 NA NA 11418 2192 1677 NA NA 11611 2550 1723 NA NA
1470258000.0 250202.0 NA 227 290 0 NA NA 452 509 0 NA NA 13828 3674 1346 NA NA 14858 3807 1371 NA
1470258000.0 250203.0 NA 221 274 0 NA NA 455 493 0 NA NA 13137 2737 1266 NA NA 14988 2908 1305 NA
1470258000.0 250204.0 NA 221 274 0 NA NA 454 490 0 NA NA 12752 2777 1359 NA NA 14253 2924 1384 NA
1470258000.0 250205.0 NA 215 275 0 NA NA 457 494 0 NA NA 12095 2508 1392 NA NA 13726 2647 1422 NA
