Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1469955600.0 108.0 50 74 189 NA NA 166 229 396 NA NA 10992 583 906 NA NA 11266 616 940 NA NA
1469955600.0 109.0 50 71 188 NA NA 165 228 396 NA NA 7033 478 682 NA NA 7364 544 753 NA NA
1469955600.0 1102.0 NA 82 194 101 54 NA 242 399 252 157 NA 2664 3234 1856 139 NA 2718 3420 1939 147
1469955600.0 115.0 50 69 188 NA NA 165 229 396 NA NA 9601 654 801 NA NA 9789 714 841 NA NA
1469955600.0 116.0 50 70 189 NA NA 165 229 396 NA NA 9752 661 785 NA NA 9991 730 851 NA NA
1469955600.0 118.0 51 73 195 NA NA 166 229 399 NA NA 8703 472 685 NA NA 9070 513 799 NA NA
1469955600.0 121.0 50 71 190 NA NA 166 229 396 NA NA 7791 473 697 NA NA 8098 510 765 NA NA
1469955600.0 134.702 NA 34 220 0 NA NA 148 411 0 NA NA 146 6500 597 NA NA 178 7196 644 NA
1469955600.0 134.703 NA 42 230 0 NA NA 152 422 0 NA NA 165 6446 582 NA NA 204 6763 606 NA
1469955600.0 134.706 NA 37 229 0 NA NA 151 418 0 NA NA 140 7104 579 NA NA 180 7893 607 NA
1469955600.0 134.707 NA 36 222 0 NA NA 151 412 0 NA NA 166 8143 707 NA NA 201 8329 735 NA
1469955600.0 134.708 NA 41 221 0 NA NA 149 411 0 NA NA 217 7682 719 NA NA 299 7913 735 NA
1469955600.0 134.709 NA 43 231 0 NA NA 152 429 0 NA NA 210 8652 685 NA NA 256 8873 702 NA
1469955600.0 134.803 NA 33 223 0 NA NA 155 412 0 NA NA 176 7344 568 NA NA 242 8053 592 NA
1469955600.0 134.805 NA 36 232 0 NA NA 156 425 0 NA NA 159 8173 505 NA NA 193 8961 574 NA
1469955600.0 134.809 NA 42 224 0 NA NA 151 413 0 NA NA 202 7676 516 NA NA 228 8067 610 NA
1469955600.0 134.902 NA 41 220 0 NA NA 155 411 0 NA NA 234 7949 710 NA NA 325 8183 739 NA
1469955600.0 134.904 NA 34 225 0 NA NA 153 414 0 NA NA 149 6634 549 NA NA 193 7290 576 NA
1469955600.0 134.905 NA 38 220 0 NA NA 153 411 0 NA NA 192 7015 805 NA NA 210 7246 838 NA
1469955600.0 134.906 NA 36 223 0 NA NA 154 412 0 NA NA 181 8436 740 NA NA 200 8645 767 NA
1469955600.0 134.907 NA 73 237 0 NA NA 212 424 0 NA NA 436 5801 601 NA NA 492 6143 642 NA
1469955600.0 134.908 NA 76 240 0 NA NA 214 427 0 NA NA 451 5880 621 NA NA 548 6292 670 NA
1469955600.0 134.99901 NA 35 219 0 NA NA 153 412 0 NA NA 241 6878 702 NA NA 293 7146 729 NA
1469955600.0 135.1 221 0 97 NA NA 444 0 243 NA NA 1163 371 239 NA NA 1322 401 293 NA NA
1469955600.0 135.2 210 0 94 NA NA 424 0 242 NA NA 977 456 264 NA NA 1095 482 312 NA NA
1469955600.0 135.3 209 0 96 NA NA 424 0 242 NA NA 976 429 272 NA NA 1097 455 327 NA NA
1469955600.0 135.4 220 0 97 NA NA 442 0 243 NA NA 1057 357 225 NA NA 1231 384 287 NA NA
1469955600.0 135.7 220 0 96 NA NA 441 0 242 NA NA 1289 463 272 NA NA 1419 486 316 NA NA
1469955600.0 135.9 221 0 96 NA NA 442 0 242 NA NA 1055 462 272 NA NA 1193 482 328 NA NA
