Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470171600.0 1325.0 173 248 0 65 350 459 0 178 797 1325 1653 152 911 1632 1750 216
1470171600.0 134.911 39 221 0 NA 153 411 0 NA 179 5497 544 NA 219 5989 566 NA
1470171600.0 134.99901 44 219 0 NA 153 411 0 NA 167 5160 568 NA 188 5704 605 NA
1470171600.0 145.0 237 282 0 NA 424 620 0 NA 2829 3441 291 NA 2940 3724 314 NA
1470171600.0 37.0 81 195 0 NA 238 400 0 NA 2738 3363 680 NA 2812 3494 721 NA
1470171600.0 50203.0 102 262 0 NA 250 484 0 NA 1481 2491 629 NA 1724 3771 678 NA
