Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470171600.0 10024.5 NA 102 130 0 NA NA 176 208 0 NA NA 519 522 297 NA NA 670 604 308 NA
1470171600.0 101.0 77 NA NA NA NA 138 NA NA NA NA 1327 NA NA NA NA 1386 NA NA NA NA
1470171600.0 102.0 78 NA NA NA NA 138 NA NA NA NA 855 NA NA NA NA 922 NA NA NA NA
1470171600.0 10224.0 NA 143 285 0 NA NA 205 390 0 NA NA 2304 3330 482 NA NA 7139 11805 504 NA
1470171600.0 10225.0 NA 143 293 0 NA NA 210 395 0 NA NA 2730 3763 532 NA NA 10361 12028 566 NA
1470171600.0 103.0 33 0 0 NA NA 75 0 0 NA NA 400 125 213 NA NA 507 148 277 NA NA
1470171600.0 106.0 33 0 0 NA NA 75 0 0 NA NA 404 117 205 NA NA 429 152 295 NA NA
1470171600.0 10821.0 83 NA NA NA NA 126 NA NA NA NA 2984 NA NA NA NA 3083 NA NA NA NA
1470171600.0 10826.0 95 NA NA NA NA 147 NA NA NA NA 21656 NA NA NA NA 28692 NA NA NA NA
1470171600.0 110.0 41 70 188 NA NA 86 143 254 NA NA 601 401 561 NA NA 631 428 588 NA NA
1470171600.0 11024.0 96 206 81 NA NA 143 254 125 NA NA 21940 7266 3191 NA NA 22694 7376 3912 NA NA
1470171600.0 11025.0 94 206 90 NA NA 142 254 124 NA NA 16770 6844 3098 NA NA 17424 7615 3182 NA NA
1470171600.0 120.0 40 68 185 NA NA 85 142 254 NA NA 503 426 523 NA NA 537 450 620 NA NA
1470171600.0 122.0 44 70 187 NA NA 92 143 254 NA NA 813 239 525 NA NA 897 288 554 NA NA
1470171600.0 123.1 176 NA NA NA NA 243 NA NA NA NA 949 NA NA NA NA 1069 NA NA NA NA
1470171600.0 123.2 180 NA NA NA NA 246 NA NA NA NA 966 NA NA NA NA 1137 NA NA NA NA
1470171600.0 123.3 164 NA NA NA NA 229 NA NA NA NA 662 NA NA NA NA 793 NA NA NA NA
1470171600.0 124.1 172 NA NA NA NA 239 NA NA NA NA 654 NA NA NA NA 712 NA NA NA NA
1470171600.0 124.2 175 NA NA NA NA 243 NA NA NA NA 873 NA NA NA NA 1022 NA NA NA NA
1470171600.0 124.4 172 NA NA NA NA 238 NA NA NA NA 657 NA NA NA NA 779 NA NA NA NA
1470171600.0 124.5 172 NA NA NA NA 239 NA NA NA NA 676 NA NA NA NA 805 NA NA NA NA
1470171600.0 124.6 165 NA NA NA NA 229 NA NA NA NA 655 NA NA NA NA 758 NA NA NA NA
1470171600.0 128.0 39 69 185 NA NA 81 142 254 NA NA 466 387 571 NA NA 534 404 605 NA NA
1470171600.0 129.0 40 67 186 NA NA 82 143 254 NA NA 486 366 568 NA NA 500 390 629 NA NA
1470171600.0 130.0 40 69 184 NA NA 86 142 254 NA NA 594 379 586 NA NA 610 409 623 NA NA
1470171600.0 1302.0 58 141 158 NA NA 105 201 229 NA NA 8663 850 892 NA NA 10978 1188 1333 NA NA
1470171600.0 1303.0 59 145 171 NA NA 105 201 229 NA NA 8477 565 951 NA NA 8739 871 1214 NA NA
1470171600.0 1325.0 NA 167 230 0 70 NA 230 316 0 108 NA 1556 2604 3600 263 NA 1959 9180 3634 337
1470171600.0 1325.2 NA 167 228 0 NA NA 230 316 0 NA NA 1566 2498 3582 NA NA 1963 8922 3625 NA
1470171600.0 1326.0 NA 162 215 0 NA NA 223 316 0 NA NA 1357 2306 3559 NA NA 1746 9111 3605 NA
1470171600.0 133.0 53 81 193 NA NA 98 143 255 NA NA 12149 909 1979 NA NA 12675 1012 2035 NA NA
1470171600.0 134.703 NA 43 217 0 NA NA 88 290 0 NA NA 314 9958 1174 NA NA 501 15266 1200 NA
1470171600.0 134.704 NA 41 221 0 NA NA 84 280 0 NA NA 302 9520 1101 NA NA 378 14225 1117 NA
1470171600.0 134.802 NA 40 221 0 NA NA 87 283 0 NA NA 201 8203 795 NA NA 402 9434 942 NA
1470171600.0 134.806 NA 35 229 0 NA NA 86 291 0 NA NA 208 8921 783 NA NA 376 10843 836 NA
1470171600.0 134.807 NA 74 238 0 NA NA 144 300 0 NA NA 638 8126 941 NA NA 1296 9314 982 NA
1470171600.0 134.813 NA 113 52 0 NA NA 198 93 0 NA NA 710 89 200 NA NA 933 153 234 NA
1470171600.0 134.905 NA 43 219 0 NA NA 87 279 0 NA NA 334 8375 1161 NA NA 408 13783 1193 NA
1470171600.0 134.911 NA 43 217 0 NA NA 87 279 0 NA NA 325 8532 1210 NA NA 396 13792 1236 NA
1470171600.0 1340.0 NA 161 210 0 NA NA 223 316 0 NA NA 1278 2193 3536 NA NA 1663 9115 3580 NA
1470171600.0 1349.0 NA 160 245 0 NA NA 222 316 0 NA NA 708 968 1671 NA NA 1225 1034 1682 NA
1470171600.0 135.13 193 0 NA NA NA 256 0 NA NA NA 1089 268 NA NA NA 1219 285 NA NA NA
1470171600.0 135.7 222 0 98 NA NA 300 0 160 NA NA 1990 1055 558 NA NA 2349 1078 626 NA NA
