Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1469916000.0 10824.0 95 NA NA NA 142 NA NA NA 14831 NA NA NA 15444 NA NA NA
1469916000.0 134.808 NA 76 246 0 NA 145 303 0 NA 679 8855 890 NA 799 9722 915
1469916000.0 136.732 NA 154 236 0 NA 223 293 0 NA 2571 7268 1585 NA 2969 8185 1656
1469916000.0 250200.1 57 194 174 NA 104 262 236 NA 7318 1876 1786 NA 7610 2130 1941 NA
1469916000.0 25400.0 266 0 99 NA 368 0 160 NA 4455 608 464 NA 5371 639 520 NA
1469916000.0 25403.0 270 0 101 NA 376 0 161 NA 4342 596 488 NA 5590 633 578 NA
1469916000.0 25405.0 268 0 99 NA 370 0 161 NA 4642 616 478 NA 5609 645 557 NA
1469916000.0 25407.0 255 0 99 NA 350 0 162 NA 4122 598 469 NA 5240 627 526 NA
1469916000.0 25409.0 265 0 100 NA 373 0 161 NA 4893 588 499 NA 5664 642 590 NA
1469916000.0 4.55 NA 35 219 0 NA 80 276 0 NA 138 10003 873 NA 179 10582 907
1469916000.0 50200.0 NA 103 262 0 NA 166 340 0 NA 1645 2905 927 NA 3082 4357 1062
1469916000.0 50204.0 NA 103 263 0 NA 164 343 0 NA 1631 2931 922 NA 2912 4252 1054
