Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470085200.0 1311.0 NA 157 219 0 63 NA 216 290 0 100 NA 1167 1978 3628 192 NA 1779 2094 8142 1140
1470085200.0 1313.0 NA 167 239 0 NA NA 234 316 0 NA NA 1301 3336 3697 NA NA 1788 5568 9520 NA
1470085200.0 1326.0 NA 165 237 0 NA NA 223 316 0 NA NA 1196 2037 3489 NA NA 1324 2111 3587 NA
1470085200.0 134.702 NA 37 224 0 NA NA 83 279 0 NA NA 320 10432 1114 NA NA 364 17677 1140 NA
1470085200.0 134.705 NA 42 229 0 NA NA 88 287 0 NA NA 315 10592 1271 NA NA 410 14852 1358 NA
1470085200.0 134.706 NA 42 223 0 NA NA 87 287 0 NA NA 285 10989 1240 NA NA 439 21145 1265 NA
1470085200.0 134.803 NA 44 215 0 NA NA 88 281 0 NA NA 357 11550 1180 NA NA 475 21242 1242 NA
1470085200.0 134.808 NA 76 237 0 NA NA 144 304 0 NA NA 1109 13547 1248 NA NA 1246 19454 1291 NA
1470085200.0 134.907 NA 79 237 0 NA NA 144 292 0 NA NA 888 9484 1154 NA NA 1101 15910 1181 NA
1470085200.0 134.99601 NA 44 217 0 NA NA 86 283 0 NA NA 345 14624 1179 NA NA 421 21313 1196 NA
1470085200.0 1340.0 NA 160 239 0 NA NA 219 316 0 NA NA 1116 1906 3424 NA NA 1306 2028 3497 NA
1470085200.0 135.11 230 0 102 NA NA 316 0 160 NA NA 3043 805 751 NA NA 9586 815 883 NA NA
1470085200.0 135.9 216 0 98 NA NA 300 0 160 NA NA 1684 778 513 NA NA 8787 798 621 NA NA
1470085200.0 1355.0 NA 168 236 0 NA NA 227 316 0 NA NA 1402 2624 3630 NA NA 1923 5581 9435 NA
1470085200.0 136.722 NA 160 242 0 NA NA 229 323 0 NA NA 4480 9703 1507 NA NA 4577 22807 1553 NA
1470085200.0 136.723 NA 154 236 0 NA NA 225 299 0 NA NA 4177 9331 1531 NA NA 5072 22972 1548 NA
1470085200.0 136.731 NA 159 234 0 NA NA 224 304 0 NA NA 4523 9929 1521 NA NA 5440 23754 1542 NA
1470085200.0 1360.0 70 151 241 0 NA 156 215 316 0 NA 4182 1052 2057 3732 NA 7485 5342 4566 3830 NA
1470085200.0 1364.0 NA 170 233 0 NA NA 220 316 0 NA NA 751 1291 2327 NA NA 1200 1494 4205 NA
1470085200.0 1365.0 NA 171 235 0 NA NA 224 316 0 NA NA 778 1285 2351 NA NA 1222 1533 4199 NA
1470085200.0 1366.0 NA 170 234 0 NA NA 219 316 0 NA NA 741 1349 2311 NA NA 1185 1504 4205 NA
1470085200.0 13992501.0 NA 199 301 0 NA NA 273 410 0 NA NA 3440 4919 2415 NA NA 4372 21107 2445 NA
1470085200.0 25.0 NA 82 201 0 56 NA 152 271 0 97 NA 4639 5350 1308 125 NA 4741 11835 1335 246
1470085200.0 250407.0 211 0 104 NA NA 298 0 163 NA NA 2073 742 616 NA NA 12827 821 744 NA NA
1470085200.0 250408.0 226 0 103 NA NA 319 0 161 NA NA 2708 798 744 NA NA 12226 816 844 NA NA
1470085200.0 25205.0 NA 196 303 0 NA NA 276 400 0 NA NA 3438 4229 2455 NA NA 6822 21954 2477 NA
1470085200.0 25407.0 254 0 102 NA NA 354 0 163 NA NA 6141 862 737 NA NA 12536 1634 907 NA NA
1470085200.0 36.0 NA 81 193 0 NA NA 152 262 0 NA NA 4316 17657 1349 NA NA 4499 21438 1375 NA
1470085200.0 4.45 NA 35 217 0 NA NA 79 275 0 NA NA 303 11884 1134 NA NA 439 22192 1153 NA
1470085200.0 4.55 NA 37 215 0 NA NA 79 275 0 NA NA 320 14905 1281 NA NA 362 21543 1368 NA
1470085200.0 50200.0 NA 104 256 0 NA NA 166 341 0 NA NA 2525 4430 1279 NA NA 4782 11619 2553 NA
1470085200.0 50204.0 NA 104 255 0 NA NA 164 342 0 NA NA 2483 4550 1321 NA NA 4845 11645 2359 NA
1470085200.0 50206.0 NA 101 257 0 NA NA 161 340 0 NA NA 2468 4185 1238 NA NA 4067 12789 1263 NA
