Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1468616400.0 1.0 53 75 130 NA NA NA NA NA 98 147 189 NA NA NA NA NA 2557 386 1144 NA NA NA NA NA 2731 405 1190 NA NA NA NA NA
1468616400.0 10.0 NA 83 205 0 NA NA NA NA NA 153 261 0 NA NA NA NA NA 2061 2106 731 NA NA NA NA NA 2117 2145 891 NA NA NA NA
1468616400.0 1000.0 NA 214 126 0 45 NA NA NA NA 280 186 0 80 NA NA NA NA 3283 495 647 123 NA NA NA NA 3428 567 675 169 NA NA NA
1468616400.0 1001.0 NA 185 168 0 0 0 0 0 NA 248 219 0 0 0 0 0 NA 2302 476 7 71 395 37 356 NA 2622 709 16 84 448 46 372
1468616400.0 1002.0 NA 214 60 NA NA NA NA NA NA 281 101 NA NA NA NA NA NA 2098 112 NA NA NA NA NA NA 2166 121 NA NA NA NA NA
1468616400.0 10021.0 NA 98 227 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 817 2317 882 NA NA NA NA NA 894 2430 952 NA NA NA NA
1468616400.0 10023.0 NA 97 224 0 NA NA NA NA NA 178 323 0 NA NA NA NA NA 783 1915 691 NA NA NA NA NA 880 2095 719 NA NA NA NA
1468616400.0 10024.0 NA 102 236 0 NA NA NA NA NA 178 323 0 NA NA NA NA NA 872 2283 837 NA NA NA NA NA 1022 2397 868 NA NA NA NA
1468616400.0 10024.1 NA 102 147 0 NA NA NA NA NA 176 221 0 NA NA NA NA NA 569 622 358 NA NA NA NA NA 646 728 374 NA NA NA NA
1468616400.0 10024.2 NA 104 239 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 497 1354 477 NA NA NA NA NA 617 1568 500 NA NA NA NA
1468616400.0 10024.3 NA 103 143 0 NA NA NA NA NA 178 218 0 NA NA NA NA NA 576 570 262 NA NA NA NA NA 739 655 270 NA NA NA NA
1468616400.0 10024.4 NA 107 231 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 498 1478 484 NA NA NA NA NA 665 1551 842 NA NA NA NA
1468616400.0 10024.5 NA 103 141 0 NA NA NA NA NA 176 217 0 NA NA NA NA NA 552 589 324 NA NA NA NA NA 717 700 341 NA NA NA NA
1468616400.0 10025.0 NA 108 232 0 NA NA NA NA NA 177 323 0 NA NA NA NA NA 435 1239 474 NA NA NA NA NA 524 1330 517 NA NA NA NA
1468616400.0 10026.0 NA 101 232 0 NA NA NA NA NA 178 323 0 NA NA NA NA NA 931 3089 812 NA NA NA NA NA 1048 3300 842 NA NA NA NA
1468616400.0 1003.0 NA 179 0 NA NA NA NA NA NA 253 0 NA NA NA NA NA NA 3037 482 NA NA NA NA NA NA 3262 502 NA NA NA NA NA
1468616400.0 1004.0 NA 181 134 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 658 228 7 79 513 520 NA NA 709 241 19 87 521 525 NA
1468616400.0 101.0 81 NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA 2080 NA NA NA NA NA NA NA 2136 NA NA NA NA NA NA NA
1468616400.0 102.0 82 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1433 NA NA NA NA NA NA NA 1495 NA NA NA NA NA NA NA
1468616400.0 10224.0 NA 143 305 0 NA NA NA NA NA 203 396 0 NA NA NA NA NA 3803 7247 878 NA NA NA NA NA 9008 13059 908 NA NA NA NA
1468616400.0 10225.0 NA 141 307 0 NA NA NA NA NA 206 400 0 NA NA NA NA NA 3924 6113 519 NA NA NA NA NA 14161 16922 527 NA NA NA NA
1468616400.0 103.0 37 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 628 199 333 NA NA NA NA NA 640 212 356 NA NA NA NA NA
1468616400.0 105.0 52 78 24 NA NA NA NA NA 98 150 55 NA NA NA NA NA 2636 344 3 NA NA NA NA NA 2833 353 7 NA NA NA NA NA
1468616400.0 106.0 37 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 662 197 368 NA NA NA NA NA 723 209 391 NA NA NA NA NA
1468616400.0 107.0 52 76 191 NA NA NA NA NA 99 150 258 NA NA NA NA NA 7756 761 1078 NA NA NA NA NA 7854 818 1176 NA NA NA NA NA
1468616400.0 108.0 55 81 194 NA NA NA NA NA 102 150 258 NA NA NA NA NA 6243 422 791 NA NA NA NA NA 7272 560 832 NA NA NA NA NA
1468616400.0 10821.0 92 NA NA NA NA NA NA NA 134 NA NA NA NA NA NA NA 3479 NA NA NA NA NA NA NA 3874 NA NA NA NA NA NA NA
1468616400.0 10824.0 107 NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA 15123 NA NA NA NA NA NA NA 15759 NA NA NA NA NA NA NA
1468616400.0 10825.0 105 NA NA NA NA NA NA NA 151 NA NA NA NA NA NA NA 11669 NA NA NA NA NA NA NA 13030 NA NA NA NA NA NA NA
1468616400.0 10826.0 107 NA NA NA NA NA NA NA 157 NA NA NA NA NA NA NA 32698 NA NA NA NA NA NA NA 35963 NA NA NA NA NA NA NA
1468616400.0 109.0 56 77 194 NA NA NA NA NA 102 150 258 NA NA NA NA NA 10881 831 1350 NA NA NA NA NA 11020 908 1435 NA NA NA NA NA
1468616400.0 11.0 NA 80 206 0 59 NA NA NA NA 153 268 0 92 NA NA NA NA 1707 822 592 36 NA NA NA NA 1794 846 598 48 NA NA NA
1468616400.0 110.0 45 84 192 NA NA NA NA NA 89 149 257 NA NA NA NA NA 746 435 647 NA NA NA NA NA 787 481 673 NA NA NA NA NA
1468616400.0 1102.0 NA 81 205 117 67 NA NA NA NA 152 266 177 114 NA NA NA NA 2174 2843 2445 183 NA NA NA NA 2266 2939 2531 195 NA NA NA
1468616400.0 111.0 53 77 193 NA NA NA NA NA 99 150 258 NA NA NA NA NA 2608 358 675 NA NA NA NA NA 2759 390 752 NA NA NA NA NA
1468616400.0 112.0 53 77 191 NA NA NA NA NA 99 150 258 NA NA NA NA NA 8807 784 1114 NA NA NA NA NA 8917 846 1223 NA NA NA NA NA
1468616400.0 113.0 55 78 193 NA NA NA NA NA 102 150 258 NA NA NA NA NA 11015 781 1171 NA NA NA NA NA 11158 838 1254 NA NA NA NA NA
1468616400.0 114.0 55 80 192 NA NA NA NA NA 101 150 258 NA NA NA NA NA 10432 796 1119 NA NA NA NA NA 10553 870 1185 NA NA NA NA NA
1468616400.0 115.0 56 80 195 NA NA NA NA NA 102 150 258 NA NA NA NA NA 10323 756 1148 NA NA NA NA NA 10420 828 1201 NA NA NA NA NA
1468616400.0 116.0 55 78 193 NA NA NA NA NA 101 154 258 NA NA NA NA NA 10745 787 1175 NA NA NA NA NA 10903 851 1232 NA NA NA NA NA
1468616400.0 117.0 55 79 195 NA NA NA NA NA 102 150 258 NA NA NA NA NA 8710 545 896 NA NA NA NA NA 8956 607 964 NA NA NA NA NA
1468616400.0 118.0 56 87 198 NA NA NA NA NA 103 150 258 NA NA NA NA NA 6680 427 767 NA NA NA NA NA 7127 532 799 NA NA NA NA NA
1468616400.0 119.0 52 76 189 NA NA NA NA NA 99 150 258 NA NA NA NA NA 7073 658 1079 NA NA NA NA NA 7185 686 1162 NA NA NA NA NA
1468616400.0 12.0 NA 80 197 0 NA NA NA NA NA 153 259 0 NA NA NA NA NA 2465 2595 945 NA NA NA NA NA 2680 3013 999 NA NA NA NA
1468616400.0 120.0 46 78 192 NA NA NA NA NA 88 149 257 NA NA NA NA NA 605 429 630 NA NA NA NA NA 658 463 664 NA NA NA NA NA
1468616400.0 121.0 56 83 199 NA NA NA NA NA 103 150 260 NA NA NA NA NA 6394 434 809 NA NA NA NA NA 6607 514 854 NA NA NA NA NA
1468616400.0 122.0 47 77 191 NA NA NA NA NA 93 149 257 NA NA NA NA NA 921 296 607 NA NA NA NA NA 947 328 650 NA NA NA NA NA
1468616400.0 123.1 176 NA NA NA NA NA NA NA 243 NA NA NA NA NA NA NA 1517 NA NA NA NA NA NA NA 1604 NA NA NA NA NA NA NA
1468616400.0 123.2 181 NA NA NA NA NA NA NA 246 NA NA NA NA NA NA NA 1599 NA NA NA NA NA NA NA 1644 NA NA NA NA NA NA NA
1468616400.0 123.3 164 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 1103 NA NA NA NA NA NA NA 1150 NA NA NA NA NA NA NA
1468616400.0 124.1 172 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 1104 NA NA NA NA NA NA NA 1150 NA NA NA NA NA NA NA
1468616400.0 124.2 178 NA NA NA NA NA NA NA 243 NA NA NA NA NA NA NA 1493 NA NA NA NA NA NA NA 1573 NA NA NA NA NA NA NA
1468616400.0 124.4 174 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 1062 NA NA NA NA NA NA NA 1108 NA NA NA NA NA NA NA
1468616400.0 124.5 172 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 1116 NA NA NA NA NA NA NA 1167 NA NA NA NA NA NA NA
1468616400.0 124.6 164 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 1116 NA NA NA NA NA NA NA 1150 NA NA NA NA NA NA NA
1468616400.0 125.0 53 77 191 NA NA NA NA NA 100 150 258 NA NA NA NA NA 8650 798 1110 NA NA NA NA NA 8772 873 1165 NA NA NA NA NA
1468616400.0 126.0 46 75 189 NA NA NA NA NA 92 150 258 NA NA NA NA NA 1735 454 701 NA NA NA NA NA 1796 557 861 NA NA NA NA NA
1468616400.0 127.0 44 74 191 NA NA NA NA NA 91 150 258 NA NA NA NA NA 1527 469 629 NA NA NA NA NA 1613 568 673 NA NA NA NA NA
1468616400.0 128.0 45 83 191 NA NA NA NA NA 84 149 257 NA NA NA NA NA 579 427 623 NA NA NA NA NA 597 457 656 NA NA NA NA NA
1468616400.0 129.0 45 74 192 NA NA NA NA NA 84 149 257 NA NA NA NA NA 577 419 613 NA NA NA NA NA 595 442 760 NA NA NA NA NA
1468616400.0 13.0 NA 75 198 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 351 1160 791 NA NA NA NA NA 384 1209 805 NA NA NA NA
1468616400.0 130.0 46 75 192 NA NA NA NA NA 89 149 257 NA NA NA NA NA 722 441 634 NA NA NA NA NA 794 475 667 NA NA NA NA NA
1468616400.0 1301.0 59 137 166 NA NA NA NA NA 106 206 236 NA NA NA NA NA 2210 1002 2947 NA NA NA NA NA 2277 1119 3059 NA NA NA NA NA
1468616400.0 1302.0 63 156 175 NA NA NA NA NA 109 205 236 NA NA NA NA NA 8761 769 2396 NA NA NA NA NA 9015 847 2474 NA NA NA NA NA
1468616400.0 1303.0 66 146 179 NA NA NA NA NA 111 205 242 NA NA NA NA NA 11419 672 2593 NA NA NA NA NA 11995 735 2674 NA NA NA NA NA
1468616400.0 1306.0 NA 159 249 0 NA NA NA NA NA 217 323 0 NA NA NA NA NA 574 1395 1991 NA NA NA NA NA 730 1521 2095 NA NA NA NA
1468616400.0 1307.0 NA 139 134 43 0 NA NA NA NA 210 208 82 0 NA NA NA NA 658 743 63 915 NA NA NA NA 1103 874 69 961 NA NA NA
1468616400.0 1308.0 NA 136 135 43 0 NA NA NA NA 212 209 83 0 NA NA NA NA 922 933 87 1102 NA NA NA NA 971 1000 100 1117 NA NA NA
1468616400.0 1309.0 NA 162 250 0 NA NA NA NA NA 230 323 0 NA NA NA NA NA 725 1725 2227 NA NA NA NA NA 938 2240 2264 NA NA NA NA
1468616400.0 131.0 47 76 191 NA NA NA NA NA 93 150 258 NA NA NA NA NA 1665 525 681 NA NA NA NA NA 2004 590 791 NA NA NA NA NA
1468616400.0 1310.0 NA 163 255 0 NA NA NA NA NA 226 323 0 NA NA NA NA NA 812 1713 2065 NA NA NA NA NA 894 2025 2106 NA NA NA NA
1468616400.0 1311.0 NA 157 230 0 62 NA NA NA NA 219 295 0 103 NA NA NA NA 620 1165 2157 122 NA NA NA NA 716 1608 2226 177 NA NA NA
1468616400.0 1312.0 NA 162 246 0 NA NA NA NA NA 229 324 0 NA NA NA NA NA 1229 3075 3477 NA NA NA NA NA 1355 3222 3579 NA NA NA NA
1468616400.0 1313.0 NA 168 264 0 NA NA NA NA NA 235 324 0 NA NA NA NA NA 708 2195 2081 NA NA NA NA NA 886 2319 2103 NA NA NA NA
1468616400.0 1314.0 NA 164 254 0 NA NA NA NA NA 227 323 0 NA NA NA NA NA 862 1949 1677 NA NA NA NA NA 970 2091 1688 NA NA NA NA
1468616400.0 1315.0 NA 149 246 0 NA NA NA NA NA 219 323 0 NA NA NA NA NA 795 1822 2385 NA NA NA NA NA 1061 2031 2453 NA NA NA NA
1468616400.0 1316.0 NA 164 243 0 NA NA NA NA NA 221 323 0 NA NA NA NA NA 676 1669 2122 NA NA NA NA NA 759 2097 2154 NA NA NA NA
1468616400.0 1317.0 NA 154 241 0 NA NA NA NA NA 221 323 0 NA NA NA NA NA 1092 2281 3471 NA NA NA NA NA 1218 2453 3573 NA NA NA NA
1468616400.0 1318.0 NA 159 243 0 NA NA NA NA NA 217 323 0 NA NA NA NA NA 605 1389 2024 NA NA NA NA NA 697 1800 2049 NA NA NA NA
1468616400.0 1319.0 NA 153 242 0 NA NA NA NA NA 218 323 0 NA NA NA NA NA 589 1355 2066 NA NA NA NA NA 657 3047 2087 NA NA NA NA
