Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470214800.0 10626.0 83 86 152 0 130 126 198 0 11285 869 752 489 11671 933 835 502
1470214800.0 11226.0 89 89 153 0 135 132 198 0 11357 904 793 466 11696 973 859 478
1470214800.0 1361.0 61 158 245 0 155 214 316 0 6697 690 1069 1533 9025 762 1128 1554
1470214800.0 250200.1 57 200 174 NA 103 269 239 NA 7259 1876 1939 NA 7682 2009 2018 NA
1470214800.0 250202.0 NA 242 268 0 NA 333 364 0 NA 11706 3103 1161 NA 12192 8767 1979
1470214800.0 250204.0 NA 227 266 0 NA 338 352 0 NA 10740 2310 1084 NA 11549 8256 1732
1470214800.0 25407.0 272 0 100 NA 353 0 162 NA 3280 389 306 NA 4601 408 413 NA
1470214800.0 36.0 NA 81 197 0 NA 151 261 0 NA 2534 10963 703 NA 2603 11052 727
1470214800.0 4.67 NA 59 226 0 NA 94 281 0 NA 174 9484 542 NA 227 9589 565
1470214800.0 4.77 NA 60 226 0 NA 93 284 0 NA 174 11010 526 NA 212 11111 546
