Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1468746000.0 1.0 48 80 116 NA NA NA NA 89 113 166 NA NA NA NA 2075 321 412 NA NA NA NA 2110 335 441 NA NA NA NA
1468746000.0 10.0 NA 77 170 0 NA NA NA NA 117 224 0 NA NA NA NA 1940 2611 667 NA NA NA NA 1982 2672 692 NA NA NA
1468746000.0 1001.0 NA 162 105 0 0 0 0 NA 218 145 0 0 0 0 NA 3608 652 134 144 537 162 NA 3704 671 142 153 547 178
1468746000.0 1002.0 NA 185 53 NA NA NA NA NA 248 92 NA NA NA NA NA 2388 199 NA NA NA NA NA 2451 212 NA NA NA NA
1468746000.0 1003.0 NA 154 0 NA NA NA NA NA 218 0 NA NA NA NA NA 5581 838 NA NA NA NA NA 5780 870 NA NA NA NA
1468746000.0 101.0 76 NA NA NA NA NA NA 129 NA NA NA NA NA NA 1188 NA NA NA NA NA NA 1209 NA NA NA NA NA NA
1468746000.0 102.0 76 NA NA NA NA NA NA 130 NA NA NA NA NA NA 771 NA NA NA NA NA NA 802 NA NA NA NA NA NA
1468746000.0 103.0 49 78 166 NA NA NA NA 84 113 224 NA NA NA NA 832 196 491 NA NA NA NA 1013 619 837 NA NA NA NA
1468746000.0 105.0 47 71 23 NA NA NA NA 90 116 53 NA NA NA NA 1855 312 3 NA NA NA NA 1866 325 8 NA NA NA NA
1468746000.0 106.0 38 0 0 NA NA NA NA 77 0 0 NA NA NA NA 609 40 240 NA NA NA NA 619 49 254 NA NA NA NA
1468746000.0 107.0 49 73 164 NA NA NA NA 92 115 225 NA NA NA NA 5764 664 1087 NA NA NA NA 5914 695 1136 NA NA NA NA
1468746000.0 108.0 49 76 162 NA NA NA NA 93 117 222 NA NA NA NA 3526 330 763 NA NA NA NA 3554 344 795 NA NA NA NA
