Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1469916000.0 10224.0 NA 203 616 0 NA 346 829 0 NA 2450 3689 310 NA 2865 3286 319
1469916000.0 10225.0 NA 222 602 0 NA 372 815 0 NA 2774 3639 259 NA 2673 2977 265
1469916000.0 10826.0 142 NA NA NA 210 NA NA NA 27811 NA NA NA 9206 NA NA NA
1469916000.0 11021.0 99 572 92 NA 152 629 150 NA 8469 2228 814 NA 3487 1383 838 NA
1469916000.0 11026.0 145 589 106 NA 210 647 160 NA 24916 2435 1043 NA 8170 1622 982 NA
1469916000.0 1309.0 NA 216 452 0 NA 317 555 0 NA 614 1681 972 NA 418 1521 998
1469916000.0 1310.0 NA 202 460 0 NA 301 576 0 NA 495 1505 966 NA 391 1409 975
1469916000.0 1312.0 NA 201 448 0 NA 329 571 0 NA 563 1725 953 NA 574 1578 965
1469916000.0 1314.0 NA 188 449 0 NA 332 571 0 NA 472 1345 942 NA 356 1247 962
1469916000.0 1316.0 NA 197 441 0 NA 309 553 0 NA 505 1581 891 NA 379 1531 903
1469916000.0 1332.0 NA 195 450 0 NA 334 557 0 NA 483 1408 968 NA 387 1364 983
1469916000.0 1333.0 NA 195 448 0 NA 322 570 0 NA 449 1480 871 NA 347 1635 883
1469916000.0 1335.0 NA 195 451 0 NA 312 560 0 NA 474 1434 922 NA 345 1357 933
1469916000.0 1338.0 NA 206 463 0 NA 335 563 0 NA 623 1737 1002 NA 407 1540 1016
1469916000.0 1339.0 NA 209 466 0 NA 315 586 0 NA 642 1666 932 NA 416 1321 947
1469916000.0 134.808 NA 85 405 0 NA 157 519 0 NA 691 8751 352 NA 1374 3250 363
1469916000.0 134.809 NA 41 385 0 NA 96 470 0 NA 161 5765 283 NA 181 2149 291
1469916000.0 1340.0 NA 187 446 0 NA 295 553 0 NA 431 1401 927 NA 332 1374 939
1469916000.0 1341.0 NA 211 463 0 NA 338 566 0 NA 733 1920 976 NA 461 1601 987
1469916000.0 1345.0 NA 208 456 0 NA 330 557 0 NA 561 1651 961 NA 568 1568 973
1469916000.0 1347.0 NA 191 453 0 NA 335 569 0 NA 491 1468 958 NA 363 1361 969
1469916000.0 135.11 428 0 114 NA 549 0 177 NA 1770 213 234 NA 997 219 180 NA
1469916000.0 1353.0 NA 206 462 0 NA 311 560 0 NA 513 1586 918 NA 370 1518 932
1469916000.0 1354.0 NA 203 460 0 NA 345 576 0 NA 513 1533 955 NA 387 1427 969
1469916000.0 136.722 NA 191 420 0 NA 288 544 0 NA 3584 9413 869 NA 1123 3669 880
1469916000.0 136.724 NA 193 428 0 NA 291 515 0 NA 3851 10824 873 NA 1216 3815 889
1469916000.0 136.725 NA 200 421 0 NA 289 510 0 NA 3503 8043 563 NA 1484 3172 571
1469916000.0 136.726 NA 198 428 0 NA 291 525 0 NA 4019 9770 900 NA 1277 4044 907
1469916000.0 136.731 NA 202 424 0 NA 299 510 0 NA 3641 10331 620 NA 1323 4163 627
1469916000.0 136.732 NA 193 407 0 NA 276 518 0 NA 3745 11647 1116 NA 1875 5056 1171
1469916000.0 136.7321 NA 187 433 0 NA 272 521 0 NA 2210 7370 606 NA 891 3247 616
1469916000.0 1360.0 97 203 458 0 226 310 575 0 3885 383 1954 949 2683 463 1873 957
1469916000.0 1361.0 91 200 452 0 223 298 544 0 6392 560 1731 975 3779 359 1610 983
1469916000.0 139902.0 NA 197 455 0 NA 345 564 0 NA 571 1584 968 NA 383 1406 979
1469916000.0 13992502.0 NA 305 658 0 NA 454 861 0 NA 2899 4859 1003 NA 1694 2966 1017
1469916000.0 250207.0 NA 350 533 0 NA 515 639 0 NA 9849 2672 1025 NA 4384 1696 1068
1469916000.0 250402.0 435 0 123 NA 571 0 179 NA 3208 423 642 NA 2230 440 513 NA
1469916000.0 250405.0 428 0 123 NA 557 0 178 NA 2813 406 537 NA 2182 423 491 NA
1469916000.0 250409.0 455 0 116 NA 595 0 192 NA 2361 250 399 NA 1271 256 223 NA
1469916000.0 25205.0 NA 286 652 0 NA 452 871 0 NA 3000 4505 1036 NA 2085 3310 1047
1469916000.0 25207.0 NA 295 652 0 NA 431 848 0 NA 3014 3920 957 NA 1986 2918 964
1469916000.0 25400.0 506 0 109 NA 686 0 178 NA 4312 189 227 NA 2006 196 177 NA
1469916000.0 25403.0 528 0 111 NA 682 0 179 NA 3520 221 204 NA 1965 227 167 NA
1469916000.0 25405.0 518 0 108 NA 687 0 184 NA 4784 225 213 NA 2331 230 171 NA
1469916000.0 25407.0 477 0 109 NA 631 0 184 NA 3997 258 236 NA 2345 264 193 NA
1469916000.0 25409.0 517 0 111 NA 685 0 178 NA 3300 220 224 NA 1863 227 174 NA
1469916000.0 300.0 121 254 507 0 208 349 752 0 3160 791 1399 133 1429 974 1363 141
1469916000.0 301.0 120 246 497 0 205 372 697 0 4158 1035 1241 125 1637 889 1194 138
1469916000.0 36.0 NA 96 376 0 NA 190 474 0 NA 1816 6721 395 NA 669 2069 414
1469916000.0 4.57 NA 56 379 0 NA 98 461 0 NA 125 6998 296 NA 145 2263 320
1469916000.0 4.58 NA 52 361 0 NA 97 449 0 NA 98 3757 315 NA 135 1394 329
1469916000.0 500200.1 93 163 222 NA 172 262 315 NA 6629 611 1074 NA 2248 510 544 NA
