Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470085200.0 1303.0 91 193 196 NA NA NA NA 161 300 301 NA NA NA NA 13408 568 957 NA NA NA NA 4804 407 582 NA NA NA NA
1470085200.0 1306.0 NA 187 438 0 NA NA NA NA 317 564 0 NA NA NA NA 1129 2968 2047 NA NA NA NA 886 2969 2064 NA NA NA
1470085200.0 1309.0 NA 217 455 0 NA NA NA NA 329 563 0 NA NA NA NA 1189 4136 1851 NA NA NA NA 817 3816 1864 NA NA NA
1470085200.0 1311.0 NA 178 444 0 69 NA NA NA 314 555 0 105 NA NA NA 593 1540 1159 101 NA NA NA 439 1526 1169 122 NA NA
1470085200.0 1312.0 NA 204 455 0 NA NA NA NA 342 563 0 NA NA NA NA 1172 3204 1816 NA NA NA NA 764 2863 1832 NA NA NA
1470085200.0 1313.0 NA 205 469 0 NA NA NA NA 348 573 0 NA NA NA NA 691 2711 1282 NA NA NA NA 488 1926 1350 NA NA NA
1470085200.0 1314.0 NA 199 461 0 NA NA NA NA 325 554 0 NA NA NA NA 1107 3155 1952 NA NA NA NA 767 2966 1970 NA NA NA
1470085200.0 1316.0 NA 197 440 0 NA NA NA NA 296 558 0 NA NA NA NA 1059 3040 2017 NA NA NA NA 819 2905 2062 NA NA NA
1470085200.0 1318.0 NA 191 438 0 NA NA NA NA 311 563 0 NA NA NA NA 966 3427 1799 NA NA NA NA 999 3370 1820 NA NA NA
1470085200.0 1319.0 NA 193 441 0 NA NA NA NA 293 568 0 NA NA NA NA 924 2906 1821 NA NA NA NA 678 3042 1862 NA NA NA
1470085200.0 1322.0 NA 191 442 0 NA NA NA NA 305 564 0 NA NA NA NA 958 3049 1779 NA NA NA NA 728 2886 1797 NA NA NA
1470085200.0 1323.0 NA 193 442 0 NA NA NA NA 302 556 0 NA NA NA NA 890 2848 1801 NA NA NA NA 658 3049 1839 NA NA NA
1470085200.0 1324.0 NA 210 464 0 NA NA NA NA 338 561 0 NA NA NA NA 1333 3195 1856 NA NA NA NA 924 2791 1886 NA NA NA
1470085200.0 1325.0 NA 201 455 0 82 NA NA NA 329 571 0 119 NA NA NA 729 1993 1289 168 NA NA NA 512 1715 1363 419 NA NA
1470085200.0 1325.1 NA 198 233 0 NA NA NA NA 336 294 0 NA NA NA NA 520 309 167 NA NA NA NA 371 282 172 NA NA NA
1470085200.0 1325.2 NA 215 457 0 NA NA NA NA 320 566 0 NA NA NA NA 1238 3528 1847 NA NA NA NA 793 3100 1864 NA NA NA
1470085200.0 1325.3 NA 200 208 0 NA NA NA NA 328 289 0 NA NA NA NA 532 297 164 NA NA NA NA 401 276 181 NA NA NA
1470085200.0 1326.0 NA 194 448 0 NA NA NA NA 336 561 0 NA NA NA NA 633 1735 1176 NA NA NA NA 467 1608 1192 NA NA NA
1470085200.0 1327.0 NA 202 443 0 NA NA NA NA 298 561 0 NA NA NA NA 1078 3525 1860 NA NA NA NA 1055 3327 1884 NA NA NA
1470085200.0 1328.0 NA 201 462 0 NA NA NA NA 322 557 0 NA NA NA NA 1110 3250 1961 NA NA NA NA 774 3478 1980 NA NA NA
1470085200.0 1329.0 NA 191 451 0 NA NA NA NA 338 560 0 NA NA NA NA 1065 3070 1848 NA NA NA NA 757 2932 1878 NA NA NA
1470085200.0 1331.0 NA 195 446 0 NA NA NA NA 324 560 0 NA NA NA NA 1217 3152 1811 NA NA NA NA 861 3010 1839 NA NA NA
1470085200.0 1332.0 NA 202 446 0 NA NA NA NA 285 557 0 NA NA NA NA 1036 2993 1820 NA NA NA NA 764 2818 1830 NA NA NA
1470085200.0 1334.0 NA 204 455 0 NA NA NA NA 330 552 0 NA NA NA NA 1115 3125 1843 NA NA NA NA 750 2910 1861 NA NA NA
1470085200.0 1336.0 NA 201 453 0 NA NA NA NA 341 565 0 NA NA NA NA 1391 5109 1994 NA NA NA NA 921 3452 2025 NA NA NA
1470085200.0 1337.0 NA 215 468 0 NA NA NA NA 339 570 0 NA NA NA NA 1438 4362 2062 NA NA NA NA 920 3407 2094 NA NA NA
1470085200.0 1338.0 NA 213 458 0 NA NA NA NA 333 567 0 NA NA NA NA 1272 3921 1981 NA NA NA NA 799 3466 1993 NA NA NA
1470085200.0 1339.0 NA 210 462 0 NA NA NA NA 313 575 0 NA NA NA NA 1476 3929 1919 NA NA NA NA 883 3123 1938 NA NA NA
1470085200.0 134.0 NA 354 33 0 NA NA NA NA 447 73 0 NA NA NA NA 1896 5 6 NA NA NA NA 1071 28 10 NA NA NA
1470085200.0 134.709 NA 48 388 0 NA NA NA NA 94 494 0 NA NA NA NA 259 10132 594 NA NA NA NA 259 3896 618 NA NA NA
1470085200.0 134.801 NA 44 386 0 NA NA NA NA 92 464 0 NA NA NA NA 158 4503 370 NA NA NA NA 161 1842 378 NA NA NA
1470085200.0 134.805 NA 46 391 0 NA NA NA NA 97 489 0 NA NA NA NA 349 14590 575 NA NA NA NA 328 5054 585 NA NA NA
1470085200.0 134.807 NA 86 412 0 NA NA NA NA 157 502 0 NA NA NA NA 803 8979 454 NA NA NA NA 961 3448 465 NA NA NA
1470085200.0 134.808 NA 87 413 0 NA NA NA NA 156 514 0 NA NA NA NA 539 6134 288 NA NA NA NA 483 2463 295 NA NA NA
1470085200.0 134.809 NA 45 385 0 NA NA NA NA 91 477 0 NA NA NA NA 355 13043 544 NA NA NA NA 330 4770 592 NA NA NA
1470085200.0 134.902 NA 46 373 0 NA NA NA NA 93 477 0 NA NA NA NA 295 9217 544 NA NA NA NA 354 3324 557 NA NA NA
1470085200.0 134.903 NA 47 371 0 NA NA NA NA 96 472 0 NA NA NA NA 310 8308 596 NA NA NA NA 304 3076 613 NA NA NA
1470085200.0 134.907 NA 80 386 0 NA NA NA NA 155 508 0 NA NA NA NA 960 9673 556 NA NA NA NA 826 3945 571 NA NA NA
1470085200.0 134.911 NA 46 373 0 NA NA NA NA 96 471 0 NA NA NA NA 293 8482 595 NA NA NA NA 294 3122 619 NA NA NA
1470085200.0 134.912 NA 37 367 0 NA NA NA NA 91 479 0 NA NA NA NA 182 3938 381 NA NA NA NA 178 2014 390 NA NA NA
1470085200.0 1341.0 NA 211 461 0 NA NA NA NA 347 558 0 NA NA NA NA 1454 4113 1978 NA NA NA NA 943 3293 2006 NA NA NA
1470085200.0 1343.0 NA 194 454 0 NA NA NA NA 322 572 0 NA NA NA NA 718 1876 1211 NA NA NA NA 528 1708 1220 NA NA NA
1470085200.0 1344.0 NA 196 453 0 NA NA NA NA 331 561 0 NA NA NA NA 1127 3253 1887 NA NA NA NA 766 3163 1948 NA NA NA
1470085200.0 1345.0 NA 194 454 0 NA NA NA NA 339 545 0 NA NA NA NA 1108 3088 1804 NA NA NA NA 705 2805 1822 NA NA NA
1470085200.0 1348.0 NA 191 442 0 NA NA NA NA 305 557 0 NA NA NA NA 977 3068 2069 NA NA NA NA 736 2952 2092 NA NA NA
